mode,alpha2,threshold,races,top1,top2,top4,top6,top10,objective
CONF_HYBRID,0.75,1.5,54,12.962962962962962,24.074074074074073,40.74074074074074,53.70370370370371,72.22222222222221,34.70370370370371
CONF_HYBRID,0.75,1.8,54,12.962962962962962,24.074074074074073,40.74074074074074,53.70370370370371,72.22222222222221,34.70370370370371
CONF_HYBRID,0.55,1.3,54,12.962962962962962,25.925925925925924,35.18518518518518,53.70370370370371,74.07407407407408,34.25925925925926
CONF_HYBRID,0.5,1.3,54,12.962962962962962,25.925925925925924,35.18518518518518,51.85185185185185,77.77777777777779,34.22222222222223
S1_TWO,0.7,1.5,54,12.962962962962962,22.22222222222222,40.74074074074074,57.407407407407405,72.22222222222221,34.12962962962963
CONF_HYBRID,0.7,2.2,54,12.962962962962962,22.22222222222222,40.74074074074074,57.407407407407405,72.22222222222221,34.12962962962963
S1_TWO,0.65,1.5,54,12.962962962962962,22.22222222222222,40.74074074074074,55.55555555555556,74.07407407407408,34.00000000000001
CONF_HYBRID,0.65,2.2,54,12.962962962962962,22.22222222222222,40.74074074074074,55.55555555555556,74.07407407407408,34.00000000000001
S1_TWO,0.6,1.5,54,12.962962962962962,22.22222222222222,38.88888888888889,57.407407407407405,75.92592592592592,33.7962962962963
CONF_HYBRID,0.6,2.2,54,12.962962962962962,22.22222222222222,38.88888888888889,57.407407407407405,75.92592592592592,33.7962962962963
S1_TWO,0.75,1.5,54,12.962962962962962,22.22222222222222,40.74074074074074,53.70370370370371,72.22222222222221,33.68518518518519
CONF_HYBRID,0.75,2.2,54,12.962962962962962,22.22222222222222,40.74074074074074,53.70370370370371,72.22222222222221,33.68518518518519
CONF_HYBRID,0.55,1.15,54,12.962962962962962,24.074074074074073,35.18518518518518,53.70370370370371,74.07407407407408,33.24074074074074
CONF_HYBRID,0.55,1.5,54,12.962962962962962,24.074074074074073,35.18518518518518,53.70370370370371,74.07407407407408,33.24074074074074
CONF_HYBRID,0.55,1.8,54,12.962962962962962,24.074074074074073,35.18518518518518,53.70370370370371,74.07407407407408,33.24074074074074
CONF_HYBRID,0.5,1.15,54,12.962962962962962,24.074074074074073,35.18518518518518,51.85185185185185,77.77777777777779,33.20370370370371
CONF_HYBRID,0.5,1.5,54,12.962962962962962,24.074074074074073,35.18518518518518,51.85185185185185,77.77777777777779,33.20370370370371
CONF_HYBRID,0.5,1.8,54,12.962962962962962,24.074074074074073,35.18518518518518,51.85185185185185,77.77777777777779,33.20370370370371
S12_ONE,0.7,1.5,54,12.962962962962962,20.37037037037037,38.88888888888889,57.407407407407405,72.22222222222221,32.592592592592595
S12_ONE,0.65,1.5,54,12.962962962962962,20.37037037037037,38.88888888888889,55.55555555555556,74.07407407407408,32.46296296296297
S12_ONE,0.6,1.5,54,12.962962962962962,20.37037037037037,37.03703703703704,57.407407407407405,75.92592592592592,32.25925925925926
S1_TWO,0.55,1.5,54,12.962962962962962,22.22222222222222,35.18518518518518,53.70370370370371,74.07407407407408,32.22222222222222
CONF_HYBRID,0.55,2.2,54,12.962962962962962,22.22222222222222,35.18518518518518,53.70370370370371,74.07407407407408,32.22222222222222
S1_TWO,0.5,1.5,54,12.962962962962962,22.22222222222222,35.18518518518518,51.85185185185185,77.77777777777779,32.18518518518519
CONF_HYBRID,0.5,2.2,54,12.962962962962962,22.22222222222222,35.18518518518518,51.85185185185185,77.77777777777779,32.18518518518519
S12_ONE,0.75,1.5,54,12.962962962962962,20.37037037037037,38.88888888888889,53.70370370370371,72.22222222222221,32.14814814814815
S12_ONE,0.55,1.5,54,12.962962962962962,20.37037037037037,35.18518518518518,53.70370370370371,74.07407407407408,31.203703703703702
S12_ONE,0.5,1.5,54,12.962962962962962,20.37037037037037,35.18518518518518,51.85185185185185,77.77777777777779,31.166666666666668
