variant,month,race_code,p,head_hit
CURRENT,2026-06,202606011309,0.6494589993007344,1
CURRENT,2026-06,202606011310,0.811719526957088,1
CURRENT,2026-06,202606011311,0.7127063213930825,0
CURRENT,2026-06,202606011312,0.7702651794205009,0
CURRENT,2026-06,202606011401,0.8188417118207924,0
CURRENT,2026-06,202606011402,0.31943892607565694,0
CURRENT,2026-06,202606011403,0.6231939268051264,0
CURRENT,2026-06,202606011404,0.43441799644816276,0
CURRENT,2026-06,202606011405,0.3285611531518744,0
CURRENT,2026-06,202606011406,0.16447504645294403,0
CURRENT,2026-06,202606011407,0.11220649745829632,0
CURRENT,2026-06,202606011408,0.23018496165322358,0
CURRENT,2026-06,202606011409,0.5743743916221351,0
CURRENT,2026-06,202606011410,0.7129381520820864,1
CURRENT,2026-06,202606011411,0.42775988530895204,0
CURRENT,2026-06,202606011412,0.7208426522675504,1
CURRENT,2026-06,202606011901,0.6426915470505533,1
CURRENT,2026-06,202606011902,0.5147465950625847,0
CURRENT,2026-06,202606011904,0.29597581364615383,0
CURRENT,2026-06,202606011905,0.6988904420679746,0
CURRENT,2026-06,202606011906,0.29767999790701066,0
CURRENT,2026-06,202606011907,0.6366540087208685,0
CURRENT,2026-06,202606011908,0.7374558012451844,0
CURRENT,2026-06,202606011909,0.5618701561828933,0
CURRENT,2026-06,202606011910,0.3121320882366595,1
CURRENT,2026-06,202606011911,0.46050184760711316,1
CURRENT,2026-06,202606011912,0.6493857956234522,1
CURRENT,2026-06,202606012001,0.6930932026880977,0
CURRENT,2026-06,202606012002,0.616410660600395,0
CURRENT,2026-06,202606012003,0.2746728422882236,0
CURRENT,2026-06,202606012004,0.7429745656273121,0
CURRENT,2026-06,202606012005,0.7358327478487969,1
CURRENT,2026-06,202606012006,0.5129969192705736,0
CURRENT,2026-06,202606012007,0.5682420751133023,0
CURRENT,2026-06,202606012008,0.6795464977762897,0
CURRENT,2026-06,202606012009,0.6508887066255377,1
CURRENT,2026-06,202606012010,0.5435619846460908,1
CURRENT,2026-06,202606012011,0.7254933968142409,1
CURRENT,2026-06,202606012012,0.8553341551637127,1
CURRENT,2026-06,202606012301,0.8668251116366038,1
