family,param,floor,month,R,return_yen,profit_yen,roi_pct,head_rate_pct,hit_rate_pct
FIXED,2,14.5,2026-05,0,0.0,0.0,,,
FIXED,2,14.5,2026-06,1,0.0,-10000.0,0.0,0.0,0.0
FIXED,2,15.0,2026-04,0,0.0,0.0,,,
FIXED,2,15.0,2026-05,0,0.0,0.0,,,
FIXED,2,15.0,2026-06,1,0.0,-10000.0,0.0,0.0,0.0
FIXED,3,4.0,2026-04,7,0.0,-70000.0,0.0,14.285714285714285,0.0
FIXED,3,4.0,2026-05,6,117800.0,57800.0,196.33333333333334,50.0,33.33333333333333
FIXED,3,4.0,2026-06,13,54560.00000000001,-75440.0,41.969230769230776,30.76923076923077,7.6923076923076925
FIXED,3,4.5,2026-04,7,0.0,-70000.0,0.0,14.285714285714285,0.0
FIXED,3,4.5,2026-05,6,117800.0,57800.0,196.33333333333334,50.0,33.33333333333333
FIXED,3,4.5,2026-06,11,54560.00000000001,-55439.99999999999,49.60000000000001,36.36363636363637,9.090909090909092
FIXED,3,5.0,2026-04,7,0.0,-70000.0,0.0,14.285714285714285,0.0
FIXED,3,5.0,2026-05,4,117800.0,77800.0,294.5,50.0,50.0
FIXED,3,5.0,2026-06,10,54560.00000000001,-45439.99999999999,54.56000000000001,30.0,10.0
FIXED,3,5.5,2026-04,5,0.0,-50000.0,0.0,20.0,0.0
FIXED,3,5.5,2026-05,2,67050.0,47050.0,335.25,50.0,50.0
FIXED,3,5.5,2026-06,7,0.0,-70000.0,0.0,14.285714285714285,0.0
FIXED,3,6.0,2026-04,5,0.0,-50000.0,0.0,20.0,0.0
FIXED,3,6.0,2026-05,2,67050.0,47050.0,335.25,50.0,50.0
FIXED,3,6.0,2026-06,6,0.0,-60000.0,0.0,16.666666666666664,0.0
FIXED,3,6.5,2026-04,4,0.0,-40000.0,0.0,25.0,0.0
FIXED,3,6.5,2026-05,2,67050.0,47050.0,335.25,50.0,50.0
FIXED,3,6.5,2026-06,5,0.0,-50000.0,0.0,20.0,0.0
FIXED,3,7.0,2026-04,3,0.0,-30000.0,0.0,33.33333333333333,0.0
FIXED,3,7.0,2026-05,1,0.0,-10000.0,0.0,0.0,0.0
FIXED,3,7.0,2026-06,4,0.0,-40000.0,0.0,25.0,0.0
FIXED,3,7.5,2026-04,3,0.0,-30000.0,0.0,33.33333333333333,0.0
FIXED,3,7.5,2026-05,1,0.0,-10000.0,0.0,0.0,0.0
FIXED,3,7.5,2026-06,2,0.0,-20000.0,0.0,50.0,0.0
FIXED,3,8.0,2026-04,2,0.0,-20000.0,0.0,50.0,0.0
FIXED,3,8.0,2026-05,1,0.0,-10000.0,0.0,0.0,0.0
FIXED,3,8.0,2026-06,2,0.0,-20000.0,0.0,50.0,0.0
FIXED,3,8.5,2026-04,1,0.0,-10000.0,0.0,0.0,0.0
FIXED,3,8.5,2026-05,0,0.0,0.0,,,
FIXED,3,8.5,2026-06,2,0.0,-20000.0,0.0,50.0,0.0
FIXED,3,9.0,2026-04,0,0.0,0.0,,,
FIXED,3,9.0,2026-05,0,0.0,0.0,,,
FIXED,3,9.0,2026-06,1,0.0,-10000.0,0.0,0.0,0.0
FIXED,3,9.5,2026-04,0,0.0,0.0,,,
FIXED,3,9.5,2026-05,0,0.0,0.0,,,
FIXED,3,9.5,2026-06,1,0.0,-10000.0,0.0,0.0,0.0
FIXED,3,10.0,2026-04,0,0.0,0.0,,,
FIXED,3,10.0,2026-05,0,0.0,0.0,,,
FIXED,3,10.0,2026-06,0,0.0,0.0,,,
FIXED,3,10.5,2026-04,0,0.0,0.0,,,
FIXED,3,10.5,2026-05,0,0.0,0.0,,,
FIXED,3,10.5,2026-06,0,0.0,0.0,,,
FIXED,3,11.0,2026-04,0,0.0,0.0,,,
FIXED,3,11.0,2026-05,0,0.0,0.0,,,
FIXED,3,11.0,2026-06,0,0.0,0.0,,,
FIXED,3,11.5,2026-04,0,0.0,0.0,,,
FIXED,3,11.5,2026-05,0,0.0,0.0,,,
FIXED,3,11.5,2026-06,0,0.0,0.0,,,
FIXED,3,12.0,2026-04,0,0.0,0.0,,,
FIXED,3,12.0,2026-05,0,0.0,0.0,,,
FIXED,3,12.0,2026-06,0,0.0,0.0,,,
FIXED,3,12.5,2026-04,0,0.0,0.0,,,
FIXED,3,12.5,2026-05,0,0.0,0.0,,,
FIXED,3,12.5,2026-06,0,0.0,0.0,,,
FIXED,3,13.0,2026-04,0,0.0,0.0,,,
FIXED,3,13.0,2026-05,0,0.0,0.0,,,
FIXED,3,13.0,2026-06,0,0.0,0.0,,,
FIXED,3,13.5,2026-04,0,0.0,0.0,,,
FIXED,3,13.5,2026-05,0,0.0,0.0,,,
FIXED,3,13.5,2026-06,0,0.0,0.0,,,
FIXED,3,14.0,2026-04,0,0.0,0.0,,,
FIXED,3,14.0,2026-05,0,0.0,0.0,,,
FIXED,3,14.0,2026-06,0,0.0,0.0,,,
FIXED,3,14.5,2026-04,0,0.0,0.0,,,
FIXED,3,14.5,2026-05,0,0.0,0.0,,,
FIXED,3,14.5,2026-06,0,0.0,0.0,,,
FIXED,3,15.0,2026-04,0,0.0,0.0,,,
FIXED,3,15.0,2026-05,0,0.0,0.0,,,
FIXED,3,15.0,2026-06,0,0.0,0.0,,,
FIXED,4,4.0,2026-04,5,0.0,-50000.0,0.0,20.0,0.0
FIXED,4,4.0,2026-05,5,105210.0,55210.0,210.42,60.0,40.0
FIXED,4,4.0,2026-06,11,49280.00000000001,-60719.99999999999,44.80000000000001,36.36363636363637,9.090909090909092
FIXED,4,4.5,2026-04,5,0.0,-50000.0,0.0,20.0,0.0
FIXED,4,4.5,2026-05,4,62580.0,22580.0,156.45,50.0,25.0
FIXED,4,4.5,2026-06,9,49280.00000000001,-40719.99999999999,54.75555555555557,33.33333333333333,11.11111111111111
FIXED,4,5.0,2026-04,4,0.0,-40000.0,0.0,25.0,0.0
FIXED,4,5.0,2026-05,2,62580.0,42580.0,312.9,50.0,50.0
FIXED,4,5.0,2026-06,7,0.0,-70000.0,0.0,14.285714285714285,0.0
FIXED,4,5.5,2026-04,3,0.0,-30000.0,0.0,33.33333333333333,0.0
FIXED,4,5.5,2026-05,2,62580.0,42580.0,312.9,50.0,50.0
FIXED,4,5.5,2026-06,4,0.0,-40000.0,0.0,25.0,0.0
FIXED,4,6.0,2026-04,3,0.0,-30000.0,0.0,33.33333333333333,0.0
