feature,category,n,overall_head_rate,direction,auc_oriented,std_mean_diff,top10_n,top10_head_rate,top10_lift_pt,top20_n,top20_head_rate,top20_lift_pt,month_direction_good,month_direction_seen,month_consistency,month_direction_detail,oof_n,base_oof_auc,plus_feature_oof_auc,delta_oof_auc,delta_logloss,incremental_months_positive,incremental_months_seen,incremental_month_floor_auc_delta,incremental_month_mean_auc_delta,importance_score
b2_vh_p12_overall,その他,592,0.23817567567567569,low,0.5368841502728373,0.11311466177194994,60,0.25,1.1824324324324316,119,0.31932773109243695,8.115205541676126,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:-;2026-06:+,,,,,,,,,,9.311456135618958
b4_vh_p12_display,4号艇_過去展示機力,592,0.23817567567567569,high,0.5394395433316036,0.13312166947476398,63,0.4126984126984127,17.4522737022737,128,0.3046875,6.651182432432432,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:-,,,,,,,,,,9.274190819646847
st_raw_strength_b2,ST攻撃力_壁,592,0.23817567567567569,high,0.5427890739255555,0.14980828213090416,85,0.32941176470588235,9.123608903020667,167,0.2874251497005988,4.924947402492311,4,5,0.8,2026-02:-;2026-03:+;2026-04:+;2026-05:+;2026-06:+,,,,,,,,,,9.263896873054016
b2_vh_p2_overall,その他,592,0.23817567567567569,low,0.5443852117438002,0.1505857728195201,61,0.26229508196721313,2.411940629153744,119,0.2773109243697479,3.913524869407223,4,5,0.8,2026-02:+;2026-03:+;2026-04:-;2026-05:+;2026-06:+,,,,,,,,,,9.221226148261461
b5_vh_p12_overall,その他,592,0.23817567567567569,low,0.5360035225110471,0.1728948721027782,60,0.3,6.182432432432431,119,0.2689075630252101,3.0731887349534386,5,5,1.0,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:+,,,,,,,,,,9.214989998095398
b5_pl_recent_p2,その他,592,0.23817567567567569,low,0.5406346810083188,0.1836165756340306,60,0.2833333333333333,4.515765765765764,132,0.29545454545454547,5.727886977886978,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:-,,,,,,,,,,9.209045496409276
b2_vh_p1_straight,その他,592,0.23817567567567569,high,0.5354609929078014,0.11026997971782887,64,0.203125,-3.5050675675675684,142,0.2676056338028169,2.9429958127141194,5,5,1.0,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:+,,,,,,,,,,9.13469845332296
st_corr_rank_b2,ST攻撃力_壁,592,0.23817567567567569,low,0.5387476215187683,0.1347533736557672,152,0.29605263157894735,5.787695590327166,152,0.29605263157894735,5.787695590327166,4,5,0.8,2026-02:-;2026-03:+;2026-04:+;2026-05:+;2026-06:+,,,,,,,,,,9.032301269942264
rel_st_raw_4v1,ST攻撃力_壁,536,0.23880597014925373,low,0.5449505974264706,0.1299997136406657,59,0.3050847457627119,6.627877561345816,113,0.26548672566371684,2.6680755514463113,4,5,0.8,2026-02:+;2026-03:+;2026-04:-;2026-05:+;2026-06:+,,,,,,,,,,9.02867485293632
opp_national_b5_v93,相手構成_v93,592,0.23817567567567569,low,0.5373087386579861,0.15653414923162937,66,0.3333333333333333,9.515765765765764,119,0.3025210084033613,6.434533272768564,4,5,0.8,2026-02:+;2026-03:+;2026-04:+;2026-05:+;2026-06:-,,,,,,,,,,9.017780520352325
