actual_combo,band,combo,combo_prob,conditional_prob,date,ev,head,head_prob,hit,kelly_raw,model,odds_pre,payout100,period,race_code,return_kelly,score,stake_kelly
4-5-1,A,5-4-3,0.0014729405295853552,0.014729405295853551,2026-08-13,2.053279098241985,5,0.1,0,0.0007561228271658184,5頭展開,1394.0,39790,test,202608130712,0,59.09600000000002,100
4-5-1,A,5-4-6,0.0030106759988481717,0.030106759988481713,2026-08-13,2.071345087207542,5,0.1,0,0.0015594542754112694,5頭展開,688.0,39790,test,202608130712,0,59.09600000000002,100
4-5-1,A,5-6-1,0.004473162163101527,0.044731621631015274,2026-08-13,2.0513921679983604,5,0.1,0,0.002297622744751662,5頭展開,458.6,39790,test,202608130712,0,59.09600000000002,100
4-5-1,A,5-6-2,0.001941646912756541,0.01941646912756541,2026-08-13,2.056204080609177,5,0.1,0,0.0009983025336570668,5頭展開,1059.0,39790,test,202608130712,0,59.09600000000002,100
4-5-1,A,5-6-3,0.00189506925804656,0.018950692580465597,2026-08-13,2.048569867948331,5,0.1,0,0.0009708980258780843,5頭展開,1081.0,39790,test,202608130712,0,59.09600000000002,100
4-5-1,A,5-6-4,0.0022619538646745925,0.022619538646745926,2026-08-13,2.048425419849311,5,0.1,0,0.001158993389176775,5頭展開,905.6,39790,test,202608130712,0,59.09600000000002,100
1-3-5,A,5-1-2,0.023700447713768717,0.23700447713768716,2026-08-13,4.794600572495412,5,0.1,0,0.018850474776430263,5頭展開,202.3,1040,test,202608131212,0,58.257000000000005,200
1-3-5,A,5-1-3,0.009772075574845687,0.09772075574845686,2026-08-13,1.7902442453117298,5,0.1,0,0.004337235155388199,5頭展開,183.2,1040,test,202608131212,0,58.257000000000005,100
1-3-5,A,5-1-4,0.00894557557041676,0.0894557557041676,2026-08-13,1.6504586927418923,5,0.1,0,0.0035447340203917837,5頭展開,184.5,1040,test,202608131212,0,58.257000000000005,100
1-3-5,A,5-1-6,0.012747299948975747,0.12747299948975746,2026-08-13,3.617683725519317,5,0.1,0,0.009256307374537896,5頭展開,283.8,1040,test,202608131212,0,58.257000000000005,100
