scope,family,nparam,floor,conf,month,base_R,base_roi_pct,added_R,added_return_yen,added_profit_yen,added_roi_pct,R,return_yen,profit_yen,roi_pct
S+A,JM4_FIXED,2,5.5,0.4,2026-04,11,524.9636363636364,5,0.0,-50000.0,0.0,16,577460.0,417460.0,360.9125
S+A,JM4_FIXED,2,5.5,0.4,2026-05,9,177.9111111111111,9,77140.0,-12860.0,85.71111111111111,18,237260.0,57260.0,131.8111111111111
S+A,JM4_FIXED,2,5.5,0.4,2026-06,8,166.4625,3,0.0,-30000.0,0.0,11,133170.0,23170.0,121.06363636363636
S+A,JM4_FIXED,2,5.5,0.45,2026-04,11,524.9636363636364,1,0.0,-10000.0,0.0,12,577460.0,457460.0,481.21666666666664
S+A,JM4_FIXED,2,5.5,0.45,2026-05,9,177.9111111111111,2,0.0,-20000.0,0.0,11,160120.0,50120.0,145.56363636363636
S+A,JM4_FIXED,2,5.5,0.45,2026-06,8,166.4625,0,0.0,0.0,,8,133170.0,53170.0,166.4625
S+A,JM4_FIXED,2,5.5,0.5,2026-04,11,524.9636363636364,0,0.0,0.0,,11,577460.0,467460.0,524.9636363636364
S+A,JM4_FIXED,2,5.5,0.5,2026-05,9,177.9111111111111,0,0.0,0.0,,9,160120.0,70120.0,177.9111111111111
S+A,JM4_FIXED,2,5.5,0.5,2026-06,8,166.4625,0,0.0,0.0,,8,133170.0,53170.0,166.4625
S+A,JM4_FIXED,2,5.5,0.55,2026-04,11,524.9636363636364,0,0.0,0.0,,11,577460.0,467460.0,524.9636363636364
S+A,JM4_FIXED,2,5.5,0.55,2026-05,9,177.9111111111111,0,0.0,0.0,,9,160120.0,70120.0,177.9111111111111
S+A,JM4_FIXED,2,5.5,0.55,2026-06,8,166.4625,0,0.0,0.0,,8,133170.0,53170.0,166.4625
S+A,ENT_FIXED,2,5.5,0.7,2026-04,11,524.9636363636364,0,0.0,0.0,,11,577460.0,467460.0,524.9636363636364
S+A,ENT_FIXED,2,5.5,0.7,2026-05,9,177.9111111111111,0,0.0,0.0,,9,160120.0,70120.0,177.9111111111111
S+A,ENT_FIXED,2,5.5,0.7,2026-06,8,166.4625,0,0.0,0.0,,8,133170.0,53170.0,166.4625
S+A,ENT_FIXED,2,5.5,0.75,2026-04,11,524.9636363636364,0,0.0,0.0,,11,577460.0,467460.0,524.9636363636364
S+A,ENT_FIXED,2,5.5,0.75,2026-05,9,177.9111111111111,0,0.0,0.0,,9,160120.0,70120.0,177.9111111111111
S+A,ENT_FIXED,2,5.5,0.75,2026-06,8,166.4625,0,0.0,0.0,,8,133170.0,53170.0,166.4625
S+A,ENT_FIXED,2,5.5,0.8,2026-04,11,524.9636363636364,0,0.0,0.0,,11,577460.0,467460.0,524.9636363636364
S+A,ENT_FIXED,2,5.5,0.8,2026-05,9,177.9111111111111,0,0.0,0.0,,9,160120.0,70120.0,177.9111111111111
S+A,ENT_FIXED,2,5.5,0.8,2026-06,8,166.4625,0,0.0,0.0,,8,133170.0,53170.0,166.4625
S+A,ENT_FIXED,2,5.5,0.85,2026-04,11,524.9636363636364,0,0.0,0.0,,11,577460.0,467460.0,524.9636363636364
S+A,ENT_FIXED,2,5.5,0.85,2026-05,9,177.9111111111111,1,0.0,-10000.0,0.0,10,160120.0,60120.0,160.12
S+A,ENT_FIXED,2,5.5,0.85,2026-06,8,166.4625,0,0.0,0.0,,8,133170.0,53170.0,166.4625
S+A,ENT_FIXED,2,5.5,0.9,2026-04,11,524.9636363636364,1,0.0,-10000.0,0.0,12,577460.0,457460.0,481.21666666666664
S+A,ENT_FIXED,2,5.5,0.9,2026-05,9,177.9111111111111,2,0.0,-20000.0,0.0,11,160120.0,50120.0,145.56363636363636
S+A,ENT_FIXED,2,5.5,0.9,2026-06,8,166.4625,0,0.0,0.0,,8,133170.0,53170.0,166.4625
S+A,P2R_FIXED,2,6.0,1.25,2026-04,11,524.9636363636364,10,0.0,-100000.0,0.0,21,577460.0,367460.0,274.9809523809524
S+A,P2R_FIXED,2,6.0,1.25,2026-05,9,177.9111111111111,14,147070.0,7070.0,105.05,23,307190.0,77190.0,133.5608695652174
S+A,P2R_FIXED,2,6.0,1.25,2026-06,8,166.4625,16,88550.00000000001,-71449.99999999999,55.343750000000014,24,221720.0,-18280.0,92.38333333333334
S+A,P2R_FIXED,2,6.0,1.5,2026-04,11,524.9636363636364,8,0.0,-80000.0,0.0,19,577460.0,387460.0,303.9263157894737
S+A,P2R_FIXED,2,6.0,1.5,2026-05,9,177.9111111111111,10,147070.0,47070.0,147.07,19,307190.0,117190.0,161.67894736842106
S+A,P2R_FIXED,2,6.0,1.5,2026-06,8,166.4625,15,88550.00000000001,-61449.999999999985,59.033333333333346,23,221720.0,-8280.0,96.4
S+A,P2R_FIXED,2,6.0,1.75,2026-04,11,524.9636363636364,5,0.0,-50000.0,0.0,16,577460.0,417460.0,360.9125
S+A,P2R_FIXED,2,6.0,1.75,2026-05,9,177.9111111111111,10,147070.0,47070.0,147.07,19,307190.0,117190.0,161.67894736842106
S+A,P2R_FIXED,2,6.0,1.75,2026-06,8,166.4625,13,88550.00000000001,-41449.999999999985,68.11538461538463,21,221720.0,11720.0,105.58095238095238
S+A,P2R_FIXED,2,6.0,2.0,2026-04,11,524.9636363636364,4,0.0,-40000.0,0.0,15,577460.0,427460.0,384.97333333333336
S+A,P2R_FIXED,2,6.0,2.0,2026-05,9,177.9111111111111,8,77140.0,-2860.0,96.425,17,237260.0,67260.0,139.56470588235294
S+A,P2R_FIXED,2,6.0,2.0,2026-06,8,166.4625,10,88550.00000000001,-11449.999999999985,88.55000000000003,18,221720.0,41720.0,123.17777777777778
S+A,JM4_FIXED,2,6.0,0.3,2026-04,11,524.9636363636364,15,0.0,-150000.0,0.0,26,577460.0,317460.0,222.1
S+A,JM4_FIXED,2,6.0,0.3,2026-05,9,177.9111111111111,14,147070.0,7070.0,105.05,23,307190.0,77190.0,133.5608695652174
S+A,JM4_FIXED,2,6.0,0.3,2026-06,8,166.4625,20,88550.00000000001,-111449.99999999999,44.27500000000001,28,221720.0,-58280.0,79.18571428571428
S+A,JM4_FIXED,2,6.0,0.35,2026-04,11,524.9636363636364,13,0.0,-130000.0,0.0,24,577460.0,337460.0,240.60833333333332
S+A,JM4_FIXED,2,6.0,0.35,2026-05,9,177.9111111111111,13,147070.0,17070.0,113.13076923076923,22,307190.0,87190.0,139.63181818181818
S+A,JM4_FIXED,2,6.0,0.35,2026-06,8,166.4625,11,88550.00000000001,-21449.999999999985,80.50000000000001,19,221720.0,31720.0,116.69473684210526
S+A,JM4_FIXED,2,6.0,0.4,2026-04,11,524.9636363636364,5,0.0,-50000.0,0.0,16,577460.0,417460.0,360.9125
S+A,JM4_FIXED,2,6.0,0.4,2026-05,9,177.9111111111111,7,77140.0,7140.0,110.2,16,237260.0,77260.0,148.2875
S+A,JM4_FIXED,2,6.0,0.4,2026-06,8,166.4625,3,0.0,-30000.0,0.0,11,133170.0,23170.0,121.06363636363636
S+A,JM4_FIXED,2,6.0,0.45,2026-04,11,524.9636363636364,1,0.0,-10000.0,0.0,12,577460.0,457460.0,481.21666666666664
S+A,JM4_FIXED,2,6.0,0.45,2026-05,9,177.9111111111111,2,0.0,-20000.0,0.0,11,160120.0,50120.0,145.56363636363636
S+A,JM4_FIXED,2,6.0,0.45,2026-06,8,166.4625,0,0.0,0.0,,8,133170.0,53170.0,166.4625
