actual_combo,coverage,date,head,head_hit,head_prob,invest,model,payout100,race_code,return,score,set_ev,set_prob,synthetic_odds,ticket_hit,tickets_n,winner
1-4-6,0.5432652460454857,2026-08-01,5,0,0.1589505725905501,2000,5頭展開,1060,202608011607,0,53.156333333333336,13.03920061104888,0.08635232192747602,151.0,0,1,1
1-5-6,0.6110516682763719,2026-08-01,5,0,0.20403991707405827,2000,5頭展開,1640,202608012003,0,72.79466666666667,4.8749462303722675,0.1246789317230759,39.1,0,1,1
5-4-6,0.7221250278991891,2026-08-01,5,1,0.1956295874659866,2000,5頭展開,12730,202608012012,0,75.23333333333333,6.145202426845035,0.14126902130678243,43.5,0,1,5
1-6-2,0.5113532515411285,2026-08-02,3,0,0.20524759537054577,2000,3まくり,25400,202608020612,0,52.584666666666664,1.9820179819503503,0.10495402526372646,18.884630455763592,0,13,1
1-3-5,0.5431499883250808,2026-08-02,3,0,0.17548916540105242,2000,3まくり,830,202608021307,0,48.34800000000001,2.4376369432619445,0.09531693813875979,25.57401644305128,0,12,1
5-4-1,0.7732072793026373,2026-08-02,5,1,0.25131504310702407,2000,5頭展開,7510,202608020110,0,72.13366666666667,10.68752414007339,0.1943186207286071,55.0,0,1,5
1-3-2,0.7503090719063932,2026-08-02,5,0,0.20503177010901294,2000,5頭展開,2830,202608020512,0,65.70366666666668,13.737661704764388,0.15383719714181845,89.3,0,1,1
4-2-5,0.8198838351119965,2026-08-02,5,0,0.20331943550072892,2000,5頭展開,5280,202608020609,0,64.80233333333334,11.385495155677123,0.16669831853114384,68.3,0,1,4
1-2-4,0.954132647838732,2026-08-02,5,0,0.1616902364025355,2000,5頭展開,560,202608020810,0,32.830999999999996,6.357942440936491,0.1542739333884217,41.21203304597701,0,2,1
1-4-2,0.8940487885559546,2026-08-02,5,0,0.15908345817524328,2000,5頭展開,2370,202608021103,0,48.35033333333333,17.64080620821036,0.14222837306086814,124.03155452436197,0,2,1
1-2-3,0.7210339667439178,2026-08-02,5,0,0.12681394763500975,2000,5頭展開,930,202608021112,0,42.25833333333333,18.46116335137859,0.09143716370172655,201.9,0,1,1
1-3-5,0.7570430327633921,2026-08-02,5,0,0.13601390815255007,2000,5頭展開,2200,202608022206,0,38.224000000000004,2.3270854224832607,0.10296838152580798,22.6,0,1,1
2-3-5,0.5725395193202372,2026-08-03,3,0,0.2126729647677007,2000,3まくり,1580,202608030102,0,54.074,1.454800582279192,0.1217636770205091,11.94773858573731,0,9,2
1-3-4,0.5170021555733993,2026-08-03,3,0,0.31182409640812564,2000,3まくり,610,202608030411,0,82.21433333333336,2.1977793859120127,0.16121373000272846,13.632706010057683,0,7,1
1-4-5,0.5093277242572485,2026-08-03,3,0,0.2792964003194699,2000,3まくり,2910,202608031301,0,72.24300000000001,1.2961850323818263,0.14225339996795705,9.111803532806915,0,12,1
1-6-3,0.8434072953770062,2026-08-03,5,0,0.16137901419949566,2000,5頭展開,5730,202608030611,0,50.869,25.54683000838532,0.13610823789660412,187.6949580949847,0,2,1
4-5-6,0.6200372362204314,2026-08-03,5,0,0.26969018089784336,2000,5頭展開,7090,202608031304,0,72.271,25.149580341712923,0.16721795439968698,150.4,0,1,4
5-4-6,0.9019580552537124,2026-08-03,5,1,0.1953429416066207,2000,5頭展開,9050,202608031707,0,61.86833333333334,8.263364452823309,0.1761911397190471,46.9,0,1,5
4-1-5,0.5109304341095589,2026-08-03,5,0,0.1831217004139014,2000,5頭展開,3800,202608031902,0,57.467333333333336,2.8536547215643346,0.09356244988735524,30.5,0,1,4
6-1-2,0.9413508184448292,2026-08-03,5,0,0.2284705352373103,2000,5頭展開,7610,202608032006,0,68.752,6.117366452127687,0.21507092533617025,28.44348413234301,0,2,6
1-3-2,0.5847226695800206,2026-08-03,5,0,0.1337947998567778,2000,5頭展開,1170,202608032010,0,44.980000000000004,13.268291792171272,0.07823285254817967,169.6,0,1,1
4-1-2,0.6830848108962844,2026-08-03,5,0,0.12586169481661735,2000,5頭展開,7540,202608032309,0,39.541666666666664,4.685594554157773,0.08597421200289491,54.5,0,1,4
1-3-6,0.560536269283735,2026-08-04,3,0,0.21794875102230635,2000,3まくり,1110,202608040503,0,60.089,2.193410136559861,0.12216817979309323,17.95402158135342,0,8,1
4-5-2,0.5213713202264135,2026-08-04,3,0,0.22690701329319354,2000,3まくり,16220,202608040612,0,63.795000000000016,5.91031690412459,0.11830280908930468,49.95922708532641,0,10,4
3-1-2,0.5074928699107427,2026-08-04,3,1,0.30620422474580505,2000,3まくり,1760,202608041003,0,86.16433333333333,1.4137738627068497,0.15539646079504266,9.097851105962581,0,9,3
3-4-5,0.5147661552560057,2026-08-04,3,1,0.21407434324839142,2000,3まくり,5650,202608041706,16950,56.95433333333334,1.4345565910117952,0.1101982266129289,13.017964400195595,1,11,3
1-2-4,0.6363429278461442,2026-08-04,5,0,0.20891080947086932,2000,5頭展開,2710,202608041004,0,60.37833333333333,14.237757920457645,0.13293891615740097,107.10000000000001,0,1,1
2-4-1,0.908229857792842,2026-08-04,5,0,0.20269359170186563,2000,5頭展開,11670,202608041005,0,65.11300000000001,3.5529827789612822,0.1840923719669058,19.3,0,1,2
4-1-3,0.7637927794372523,2026-08-04,5,0,0.2503697725961891,2000,5頭展開,2590,202608041208,0,71.08900000000001,35.89616129361232,0.19123062449831607,187.71136363636367,0,2,4
1-3-6,0.7285871766466375,2026-08-04,5,0,0.1597313210745614,2000,5頭展開,3250,202608041212,0,52.77299999999999,15.245543183931542,0.11637819224375223,131.0,0,1,1
1-3-6,0.5076082380349576,2026-08-05,3,0,0.2179996631888598,2000,3まくり,580,202608050609,0,54.95633333333335,1.3433925220685197,0.11065842492351133,12.139993163621222,0,12,1
3-1-4,0.5876201005738262,2026-08-05,3,1,0.30648143637331965,2000,3まくり,1720,202608051707,0,76.08033333333334,1.5525974929715363,0.1800946524657008,8.621008295997184,0,13,3
5-4-6,0.9152654196750314,2026-08-05,5,1,0.20377394049476885,2000,5頭展開,1430,202608050401,0,77.97233333333334,4.326554846094134,0.1865072411657795,23.19778481012658,0,2,5
5-1-3,0.7477660270619884,2026-08-05,5,1,0.1906359068253955,2000,5頭展開,20600,202608050407,0,78.85233333333333,10.748349521528779,0.14255105466218537,75.4,0,1,5
1-2-6,0.6011763766869864,2026-08-05,5,0,0.2429168950710657,2000,5頭展開,1970,202608050610,0,75.00633333333334,14.501364752317203,0.14603589881487616,99.3,0,1,1
1-4-3,0.5938824122023268,2026-08-05,5,0,0.18964634502472433,2000,5頭展開,1210,202608050611,0,63.88100000000001,10.316690802535243,0.11262762884863803,91.6,0,1,1
2-4-1,0.813531952840476,2026-08-05,5,0,0.17259334538367796,2000,5頭展開,5100,202608050907,0,56.44533333333334,9.323237367465685,0.1404102013172543,66.4,0,1,2
4-1-3,0.71960315502058,2026-08-05,5,0,0.17402459177404775,2000,5頭展開,3950,202608051402,0,56.82966666666667,9.579991364820653,0.12522864529177324,76.5,0,1,4
1-3-2,0.9319408737760101,2026-08-05,5,0,0.14566156724738968,2000,5頭展開,1000,202608051712,0,31.955,6.9393926885084545,0.1357479682561154,51.11967993079585,0,2,1
