grade,model,lambda,tickets_n,races,base_hits,value_hits,base_hit_rate_pct,value_hit_rate_pct,hit_rate_diff_pt,base_comp_rate_pct,value_comp_rate_pct,comp_rate_diff_pt,base_roi_pct,value_roi_pct,odds_races
A,3まくり,0.0,19,205,77,77,37.5609756097561,37.5609756097561,0.0,43.32930398556525,43.32930398556525,0.0,80.62387676508344,80.62387676508344,205
A,3まくり,0.0,20,205,78,78,38.048780487804876,38.048780487804876,0.0,43.79410701942477,43.79410701942477,0.0,77.78780487804877,77.78780487804877,205
A,3まくり差し,0.0,1,21,1,1,4.761904761904762,4.761904761904762,0.0,6.271152104118233,6.271152104118233,0.0,63.333333333333336,63.333333333333336,21
A,3まくり差し,0.0,2,21,4,4,19.047619047619047,19.047619047619047,0.0,11.84616206432234,11.84616206432234,0.0,104.76190476190476,104.76190476190476,21
A,3まくり差し,0.0,3,21,5,5,23.80952380952381,23.80952380952381,0.0,16.832312346876748,16.832312346876748,0.0,87.93650793650794,87.93650793650794,21
A,3まくり差し,0.0,4,21,5,5,23.80952380952381,23.80952380952381,0.0,21.474224928579353,21.474224928579353,0.0,65.95238095238095,65.95238095238095,21
A,3まくり差し,0.0,5,21,5,5,23.80952380952381,23.80952380952381,0.0,24.830566931663213,24.830566931663213,0.0,52.76190476190476,52.76190476190476,21
A,3まくり差し,0.0,6,21,6,6,28.571428571428573,28.571428571428573,0.0,27.572069864040614,27.572069864040614,0.0,60.55555555555556,60.55555555555556,21
A,3まくり差し,0.0,7,21,6,6,28.571428571428573,28.571428571428573,0.0,30.624782684570825,30.624782684570825,0.0,51.904761904761905,51.904761904761905,21
A,3まくり差し,0.0,8,21,6,6,28.571428571428573,28.571428571428573,0.0,33.6204333832337,33.6204333832337,0.0,45.416666666666664,45.416666666666664,21
A,3まくり差し,0.0,9,21,6,6,28.571428571428573,28.571428571428573,0.0,36.63378607887867,36.63378607887867,0.0,40.370370370370374,40.370370370370374,21
A,3まくり差し,0.0,10,21,6,6,28.571428571428573,28.571428571428573,0.0,38.78777965289239,38.78777965289239,0.0,36.333333333333336,36.333333333333336,21
A,3まくり差し,0.0,11,21,6,6,28.571428571428573,28.571428571428573,0.0,40.88906562461171,40.88906562461171,0.0,33.03030303030303,33.03030303030303,21
A,3まくり差し,0.0,12,21,6,6,28.571428571428573,28.571428571428573,0.0,42.50138410164638,42.50138410164638,0.0,30.27777777777778,30.27777777777778,21
A,3まくり差し,0.0,13,21,6,6,28.571428571428573,28.571428571428573,0.0,45.428722348486026,45.428722348486026,0.0,27.94871794871795,27.94871794871795,21
A,3まくり差し,0.0,14,21,6,6,28.571428571428573,28.571428571428573,0.0,47.2850435701652,47.2850435701652,0.0,25.952380952380953,25.952380952380953,21
A,3まくり差し,0.0,15,21,7,7,33.333333333333336,33.333333333333336,0.0,48.944080332961114,48.944080332961114,0.0,29.77777777777778,29.77777777777778,21
A,3まくり差し,0.0,16,21,8,8,38.095238095238095,38.095238095238095,0.0,50.72912958247311,50.72912958247311,0.0,44.523809523809526,44.523809523809526,21
A,3まくり差し,0.0,17,21,9,9,42.857142857142854,42.857142857142854,0.0,52.46348305155725,52.46348305155725,0.0,55.12605042016807,55.12605042016807,21
A,3まくり差し,0.0,18,21,11,11,52.38095238095238,52.38095238095238,0.0,54.11570277416967,54.11570277416967,0.0,66.16402116402116,66.16402116402116,21
A,3まくり差し,0.0,19,21,11,11,52.38095238095238,52.38095238095238,0.0,55.16151825378572,55.16151825378572,0.0,62.68170426065163,62.68170426065163,21
A,3まくり差し,0.0,20,21,11,11,52.38095238095238,52.38095238095238,0.0,56.29865991634319,56.29865991634319,0.0,59.54761904761905,59.54761904761905,21
A,4カドまくり,0.1,1,202,6,6,2.9702970297029703,2.9702970297029703,0.0,5.896540042266969,5.896540042266969,0.0,36.336633663366335,36.336633663366335,200
A,4カドまくり,0.1,2,202,12,13,5.9405940594059405,6.435643564356436,0.4950495049504955,10.37174448426514,10.084168966078042,-0.28757551818709715,45.54455445544554,50.94059405940594,200
A,4カドまくり,0.1,3,202,22,22,10.891089108910892,10.891089108910892,0.0,14.74261201090565,14.74261201090565,0.0,57.97029702970297,57.97029702970297,200
A,4カドまくり,0.1,4,202,26,25,12.871287128712872,12.376237623762377,-0.4950495049504955,17.46269012153628,17.312747699966682,-0.14994242156959814,56.274752475247524,53.37871287128713,200
A,4カドまくり,0.1,5,202,26,26,12.871287128712872,12.871287128712872,0.0,20.37968643659658,19.865949823284524,-0.5137366133120551,45.01980198019802,45.01980198019802,200
A,4カドまくり,0.1,6,202,29,29,14.356435643564357,14.356435643564357,0.0,22.699147867483095,22.66804398534662,-0.03110388213647397,43.118811881188115,43.118811881188115,200
