month,date,race_code,actual2,actual3,p2,p3,prior,second_rank,third_rank,nfeat2,nfeat3,pair_rank,selected_SA,v96_rank
2026-05,2026-05-11,202605111606,5,6,1:0.184944357657|2:0.295463461497|3:0.0326045984611|5:0.455296187331|6:0.0316913950543,1:0.177879898941|2:0.154241421497|3:0.154334610003|5:0.192257812436|6:0.321286257122,1>2:0.254901960784|1>3:0.137254901961|1>5:0.352941176471|1>6:0.254901960784|2>1:0.351351351351|2>3:0.162162162162|2>5:0.324324324324|2>6:0.162162162162|3>1:0.25|3>2:0.25|3>5:0.3|3>6:0.2|5>1:0.34375|5>2:0.1875|5>3:0.0625|5>6:0.40625|6>1:0.304347826087|6>2:0.260869565217|6>3:0.173913043478|6>5:0.260869565217,1,1,25,56,1,1,1
2026-05,2026-05-11,202605112308,2,5,1:0.37722274257|2:0.256107404668|3:0.119249072501|5:0.101772096445|6:0.145648683817,1:0.298611611322|2:0.206035975275|3:0.155314575184|5:0.315665987022|6:0.0243718511978,1>2:0.254901960784|1>3:0.137254901961|1>5:0.352941176471|1>6:0.254901960784|2>1:0.351351351351|2>3:0.162162162162|2>5:0.324324324324|2>6:0.162162162162|3>1:0.25|3>2:0.25|3>5:0.3|3>6:0.2|5>1:0.34375|5>2:0.1875|5>3:0.0625|5>6:0.40625|6>1:0.304347826087|6>2:0.260869565217|6>3:0.173913043478|6>5:0.260869565217,2,1,25,56,3,1,1
2026-05,2026-05-13,202605130406,2,1,1:0.158769300544|2:0.270172918048|3:0.133378771929|5:0.387240948808|6:0.0504380606703,1:0.0380484213643|2:0.0279592077202|3:0.0302256036495|5:0.211156323398|6:0.692610443868,1>2:0.254901960784|1>3:0.137254901961|1>5:0.352941176471|1>6:0.254901960784|2>1:0.351351351351|2>3:0.162162162162|2>5:0.324324324324|2>6:0.162162162162|3>1:0.25|3>2:0.25|3>5:0.3|3>6:0.2|5>1:0.34375|5>2:0.1875|5>3:0.0625|5>6:0.40625|6>1:0.304347826087|6>2:0.260869565217|6>3:0.173913043478|6>5:0.260869565217,2,3,25,56,9,0,9
2026-05,2026-05-13,202605130408,3,5,1:0.651672544508|2:0.150204622798|3:0.0887382780118|5:0.071427258239|6:0.0379572964425,1:0.122798086431|2:0.338183258553|3:0.146081172412|5:0.367985574103|6:0.0249519085012,1>2:0.254901960784|1>3:0.137254901961|1>5:0.352941176471|1>6:0.254901960784|2>1:0.351351351351|2>3:0.162162162162|2>5:0.324324324324|2>6:0.162162162162|3>1:0.25|3>2:0.25|3>5:0.3|3>6:0.2|5>1:0.34375|5>2:0.1875|5>3:0.0625|5>6:0.40625|6>1:0.304347826087|6>2:0.260869565217|6>3:0.173913043478|6>5:0.260869565217,3,1,25,56,5,1,17
2026-05,2026-05-16,202605160603,1,6,1:0.522844584509|2:0.144517368715|3:0.0429417875947|5:0.0524785821273|6:0.237217677053,1:0.216428575155|2:0.343077803684|3:0.0625486539077|5:0.011347900518|6:0.366597066736,1>2:0.254901960784|1>3:0.137254901961|1>5:0.352941176471|1>6:0.254901960784|2>1:0.351351351351|2>3:0.162162162162|2>5:0.324324324324|2>6:0.162162162162|3>1:0.25|3>2:0.25|3>5:0.3|3>6:0.2|5>1:0.34375|5>2:0.1875|5>3:0.0625|5>6:0.40625|6>1:0.304347826087|6>2:0.260869565217|6>3:0.173913043478|6>5:0.260869565217,1,1,25,56,1,0,4
2026-05,2026-05-18,202605181406,1,2,1:0.191315319632|2:0.143358457777|3:0.0623882018692|5:0.2493441156|6:0.353593905122,1:0.205792499328|2:0.133906224627|3:0.365343464561|5:0.258656285811|6:0.0363015256736,1>2:0.254901960784|1>3:0.137254901961|1>5:0.352941176471|1>6:0.254901960784|2>1:0.351351351351|2>3:0.162162162162|2>5:0.324324324324|2>6:0.162162162162|3>1:0.25|3>2:0.25|3>5:0.3|3>6:0.2|5>1:0.34375|5>2:0.1875|5>3:0.0625|5>6:0.40625|6>1:0.304347826087|6>2:0.260869565217|6>3:0.173913043478|6>5:0.260869565217,3,4,25,56,9,1,7
2026-05,2026-05-19,202605191406,1,2,1:0.155283101328|2:0.298702242359|3:0.106558019138|5:0.0487922480257|6:0.390664389149,1:0.0493967458367|2:0.110827669676|3:0.14906849285|5:0.607928733221|6:0.0827783584161,1>2:0.254901960784|1>3:0.137254901961|1>5:0.352941176471|1>6:0.254901960784|2>1:0.351351351351|2>3:0.162162162162|2>5:0.324324324324|2>6:0.162162162162|3>1:0.25|3>2:0.25|3>5:0.3|3>6:0.2|5>1:0.34375|5>2:0.1875|5>3:0.0625|5>6:0.40625|6>1:0.304347826087|6>2:0.260869565217|6>3:0.173913043478|6>5:0.260869565217,3,3,25,56,10,1,6
2026-05,2026-05-20,202605201405,6,1,1:0.287793820649|2:0.070900907042|3:0.0661317704464|5:0.0638926879057|6:0.511280813957,1:0.0996290514889|2:0.317670102376|3:0.142526000105|5:0.227987699228|6:0.212187146803,1>2:0.254901960784|1>3:0.137254901961|1>5:0.352941176471|1>6:0.254901960784|2>1:0.351351351351|2>3:0.162162162162|2>5:0.324324324324|2>6:0.162162162162|3>1:0.25|3>2:0.25|3>5:0.3|3>6:0.2|5>1:0.34375|5>2:0.1875|5>3:0.0625|5>6:0.40625|6>1:0.304347826087|6>2:0.260869565217|6>3:0.173913043478|6>5:0.260869565217,1,5,25,56,5,0,4
2026-05,2026-05-20,202605201505,3,2,1:0.0768090897799|2:0.129874662642|3:0.144922337651|5:0.527395257964|6:0.120998651963,1:0.202303844842|2:0.134828047189|3:0.102796725557|5:0.31816399008|6:0.241907392331,1>2:0.254901960784|1>3:0.137254901961|1>5:0.352941176471|1>6:0.254901960784|2>1:0.351351351351|2>3:0.162162162162|2>5:0.324324324324|2>6:0.162162162162|3>1:0.25|3>2:0.25|3>5:0.3|3>6:0.2|5>1:0.34375|5>2:0.1875|5>3:0.0625|5>6:0.40625|6>1:0.304347826087|6>2:0.260869565217|6>3:0.173913043478|6>5:0.260869565217,2,4,25,56,12,1,9
2026-05,2026-05-21,202605211905,1,6,1:0.767345752594|2:0.0447406702166|3:0.0625766118266|5:0.0103207951129|6:0.11501617025,1:0.0523359148317|2:0.182779032619|3:0.0559886216866|5:0.39104745671|6:0.317848974153,1>2:0.254901960784|1>3:0.137254901961|1>5:0.352941176471|1>6:0.254901960784|2>1:0.351351351351|2>3:0.162162162162|2>5:0.324324324324|2>6:0.162162162162|3>1:0.25|3>2:0.25|3>5:0.3|3>6:0.2|5>1:0.34375|5>2:0.1875|5>3:0.0625|5>6:0.40625|6>1:0.304347826087|6>2:0.260869565217|6>3:0.173913043478|6>5:0.260869565217,1,2,25,56,2,0,1
2026-05,2026-05-23,202605231808,1,2,1:0.281909622822|2:0.149163091228|3:0.156635194788|5:0.0621646800124|6:0.350127411149,1:0.222972915056|2:0.18908840334|3:0.105857468388|5:0.161152194186|6:0.320929019031,1>2:0.254901960784|1>3:0.137254901961|1>5:0.352941176471|1>6:0.254901960784|2>1:0.351351351351|2>3:0.162162162162|2>5:0.324324324324|2>6:0.162162162162|3>1:0.25|3>2:0.25|3>5:0.3|3>6:0.2|5>1:0.34375|5>2:0.1875|5>3:0.0625|5>6:0.40625|6>1:0.304347826087|6>2:0.260869565217|6>3:0.173913043478|6>5:0.260869565217,2,3,25,56,6,0,14
2026-05,2026-05-24,202605241910,1,6,1:0.393440815106|2:0.190552287507|3:0.118253785544|5:0.177181063828|6:0.120572048015,1:0.108486867993|2:0.170936717321|3:0.076939786078|5:0.106930609702|6:0.536706018906,1>2:0.254901960784|1>3:0.137254901961|1>5:0.352941176471|1>6:0.254901960784|2>1:0.351351351351|2>3:0.162162162162|2>5:0.324324324324|2>6:0.162162162162|3>1:0.25|3>2:0.25|3>5:0.3|3>6:0.2|5>1:0.34375|5>2:0.1875|5>3:0.0625|5>6:0.40625|6>1:0.304347826087|6>2:0.260869565217|6>3:0.173913043478|6>5:0.260869565217,1,1,25,56,1,0,1
2026-05,2026-05-24,202605242411,2,6,1:0.517926006368|2:0.0954785339241|3:0.140969543968|5:0.114052101562|6:0.131573814177,1:0.0358181734643|2:0.0361886245549|3:0.153992827931|5:0.706368085843|6:0.0676322882065,1>2:0.254901960784|1>3:0.137254901961|1>5:0.352941176471|1>6:0.254901960784|2>1:0.351351351351|2>3:0.162162162162|2>5:0.324324324324|2>6:0.162162162162|3>1:0.25|3>2:0.25|3>5:0.3|3>6:0.2|5>1:0.34375|5>2:0.1875|5>3:0.0625|5>6:0.40625|6>1:0.304347826087|6>2:0.260869565217|6>3:0.173913043478|6>5:0.260869565217,5,3,25,56,18,0,9
