n,comp_band,month,R,head4_wins,hits,head4_rate_pct,hit_rate_pct,avg_comp,return_yen,profit_yen,roi_pct
10,3-4,2026-06,9,3,3,33.33333333333333,33.33333333333333,3.4224447718909015,104980.0,14980.0,116.64444444444445
11,3-4,2026-04,11,6,4,54.54545454545454,36.36363636363637,3.3619470721265823,133770.0,23770.0,121.60909090909091
11,3-4,2026-05,9,3,2,33.33333333333333,22.22222222222222,3.3713779350880264,69700.0,-20300.0,77.44444444444444
11,3-4,2026-06,10,4,3,40.0,30.0,3.2875905106611016,96330.0,-3670.0,96.33
12,3-4,2026-04,10,5,3,50.0,30.0,3.355308697708766,100810.0,810.0,100.81
12,3-4,2026-05,6,2,2,33.33333333333333,33.33333333333333,3.303003927686591,67900.0,7900.0,113.16666666666667
12,3-4,2026-06,7,3,2,42.857142857142854,28.57142857142857,3.2101101750945955,62850.00000000001,-7149.999999999993,89.7857142857143
2,10-12,2026-04,6,2,0,33.33333333333333,0.0,10.968061914208954,0.0,-60000.0,0.0
2,10-12,2026-05,3,1,0,33.33333333333333,0.0,11.18306891531467,0.0,-30000.0,0.0
2,10-12,2026-06,5,0,0,0.0,0.0,11.182301488867012,0.0,-50000.0,0.0
3,6-8,2026-04,9,1,0,11.11111111111111,0.0,7.119430378027439,0.0,-90000.0,0.0
3,6-8,2026-05,5,2,1,40.0,20.0,6.565414275746013,67050.0,17050.0,134.1
3,6-8,2026-06,8,1,1,12.5,12.5,6.943552452156943,69230.0,-10770.0,86.5375
4,6-8,2026-04,8,2,0,25.0,0.0,6.580351782617042,0.0,-80000.0,0.0
4,6-8,2026-05,6,3,2,50.0,33.33333333333333,7.071025938192199,135300.0,75300.0,225.5
4,6-8,2026-06,5,0,0,0.0,0.0,6.663074588415097,0.0,-50000.0,0.0
6,3-4,2026-04,7,2,0,28.57142857142857,0.0,3.535715926499695,0.0,-70000.0,0.0
6,3-4,2026-05,10,3,2,30.0,20.0,3.5409878231318976,69840.0,-30160.0,69.84
6,3-4,2026-06,11,5,2,45.45454545454545,18.181818181818183,3.347383789991291,73310.0,-36690.0,66.64545454545454
2,6-8,2026-04,5,0,0,0.0,0.0,6.757006746998971,0.0,-50000.0,0.0
2,6-8,2026-05,9,3,2,33.33333333333333,22.22222222222222,7.197516514541251,147070.0,57070.0,163.4111111111111
2,6-8,2026-06,8,4,0,50.0,0.0,6.681571462396143,0.0,-80000.0,0.0
3,4-5,2026-04,4,1,0,25.0,0.0,4.481461991076719,0.0,-40000.0,0.0
3,4-5,2026-05,4,3,2,75.0,50.0,4.700660230103299,89120.0,49120.0,222.8
3,4-5,2026-06,9,4,1,44.44444444444444,11.11111111111111,4.34837794639835,45080.0,-44920.0,50.08888888888889
4,4-5,2026-04,5,1,0,20.0,0.0,4.672778189718963,0.0,-50000.0,0.0
4,4-5,2026-05,11,3,1,27.27272727272727,9.090909090909092,4.602235119632113,42630.0,-67370.0,38.75454545454546
4,4-5,2026-06,10,6,2,60.0,20.0,4.495371827870192,90440.0,-9560.0,90.44
5,4-5,2026-04,7,1,0,14.285714285714285,0.0,4.465638522462804,0.0,-70000.0,0.0
5,4-5,2026-05,5,1,0,20.0,0.0,4.515415022867725,0.0,-50000.0,0.0
5,4-5,2026-06,7,4,1,57.14285714285714,14.285714285714285,4.594504489868941,47520.00000000001,-22479.999999999993,67.8857142857143
9,<3,2026-04,14,2,0,14.285714285714285,0.0,2.423429128677544,0.0,-140000.0,0.0
9,<3,2026-05,19,9,7,47.368421052631575,36.84210526315789,2.3242256027390704,163930.0,-26070.0,86.27894736842106
9,<3,2026-06,18,7,4,38.88888888888889,22.22222222222222,2.460339173683508,94480.0,-85520.0,52.48888888888889
8,4-5,2026-04,7,4,3,57.14285714285714,42.857142857142854,4.434999427495796,134390.0,64390.0,191.9857142857143
8,4-5,2026-05,4,2,1,50.0,25.0,4.509862886286786,47500.0,7500.0,118.75
8,4-5,2026-06,5,2,2,40.0,40.0,4.2053732490927,85490.0,35490.0,170.98
13,3-4,2026-04,10,4,4,40.0,40.0,3.434410043824875,140290.0,40290.0,140.29
13,3-4,2026-05,6,3,3,50.0,50.0,3.3171338807167303,107580.0,47580.0,179.3
13,3-4,2026-06,4,2,1,50.0,25.0,3.238135446081497,30560.000000000004,-9439.999999999996,76.4
14,3-4,2026-04,7,3,3,42.857142857142854,42.857142857142854,3.4671827838359923,107840.0,37840.0,154.05714285714285
14,3-4,2026-05,4,2,2,50.0,50.0,3.326166042622807,75350.0,35350.0,188.375
14,3-4,2026-06,4,2,1,50.0,25.0,3.1102050161877504,30560.000000000004,-9439.999999999996,76.4
15,3-4,2026-04,6,3,3,50.0,50.0,3.4736518029257852,105220.0,45220.0,175.36666666666667
15,3-4,2026-05,3,2,2,66.66666666666666,66.66666666666666,3.2986517083763816,61000.0,31000.0,203.33333333333334
15,3-4,2026-06,4,2,1,50.0,25.0,3.2537960297301964,33330.0,-6670.0,83.325
16,3-4,2026-04,6,3,3,50.0,50.0,3.3891626922030356,105220.0,45220.0,175.36666666666667
16,3-4,2026-05,3,2,2,66.66666666666666,66.66666666666666,3.189091521158241,59100.0,29100.0,197.0
16,3-4,2026-06,2,2,2,100.0,100.0,3.3310814912725055,65310.0,45310.0,326.55
17,3-4,2026-04,7,4,4,57.14285714285714,57.14285714285714,3.3748146086099946,133780.0,63780.0,191.11428571428573
17,3-4,2026-05,3,2,2,66.66666666666666,66.66666666666666,3.090752614413848,59100.0,29100.0,197.0
17,3-4,2026-06,1,1,1,100.0,100.0,3.5812424569644765,33330.0,23330.0,333.3
18,3-4,2026-04,6,3,3,50.0,50.0,3.324205920509278,104960.0,44960.0,174.93333333333334
18,3-4,2026-05,2,1,1,50.0,50.0,3.062371794269012,28700.0,8700.0,143.5
18,3-4,2026-06,1,1,1,100.0,100.0,3.4965765450169393,33330.0,23330.0,333.3
19,3-4,2026-04,6,3,3,50.0,50.0,3.2624577267617796,102470.0,42470.0,170.78333333333333
19,3-4,2026-05,1,0,0,0.0,0.0,3.0004851194791637,0.0,-10000.0,0.0
19,3-4,2026-06,2,1,1,50.0,50.0,3.7022061747426442,33330.0,13330.0,166.65
9,4-5,2026-04,5,4,3,80.0,60.0,4.425594261940618,133690.0,83690.0,267.38
9,4-5,2026-05,4,4,1,100.0,25.0,4.3577723766167935,45600.0,5600.0,114.0
