actual_combo,actual_rank20,actual_second_rank,actual_third_rank,approved_A,approved_A_wind_v83,approved_S,approved_S_wind_v83,date,entry_confirmed_same,entry_course_preview,entry_gate_keep,entry_source_type,entry_status,grade,has_orig,has_stt,has_tkz,head,head_hit,history_adjust_online,history_pct_online,kimarite,model,payout100,period_v88,preview_comp,production_buy,race_code,ranked_others,relative_deg,relative_wind,route_hit,score,score_v88,score_wind_v83,ticket20_hit,ticket6_hit,tickets20_display,tickets6,tilt,tilt_bonus,valid_payout,valid_result,venue_code_v83,venue_dash_adj_v88,venue_dash_diff_pt_v88,venue_dash_feature_v88,venue_dash_global_rate_v88,venue_dash_shrunk_rate_v88,venue_dash_venue_n_v88,venue_dash_window_days_v88,venue_v83,wind_adjust_points,wind_bin,wind_cell,wind_class_old_only,wind_code,wind_old_head_rate,wind_old_lift_pt,wind_old_model_base,wind_old_n,wind_source_type,wind_speed,winner
1-3-4,0,4,5,0,0,0,0,2026-01-02,1,5,1,backfill,same,B,1,1,1,5,0,1.6188,0.9047,逃げ,5頭展開,2740,prior7,0.3316,0,202601020610,2-1-6-3-4,315,追い,0,34.7788,35.011,34.7788,0,0,5-2-1;5-1-2;5-2-6;5-6-2;5-2-3;5-1-6;5-6-1;5-2-4;5-3-2;5-1-3;5-3-1;5-1-4;5-4-2;5-6-3;5-3-6;5-4-1;5-6-4;5-4-6;5-3-4;5-4-3,5-2-1;5-2-6;5-2-3;5-1-2;5-1-6;5-1-3,-0.5,0,1,1,6,0.233,0.465,5head,0.06262,0.067274,336,180,浜名湖,0.0,3-4m,追い_3-4m,neutral,2,6.2992,-2.2787,8.5779,127,backfill,3.0,1
4-2-1,3,1,3,0,0,0,0,2026-01-02,1,4,1,backfill,same,B,1,1,1,4,1,-1.1429,0.2143,まくり,4カドまくり,4180,prior7,0.407,0,202601020702,2-5-1-3-6,270,左横,1,38.3671,37.99,40.3671,1,1,4-2-5;4-5-2;4-2-1;4-1-2;4-2-3;4-5-1;4-1-5;4-2-6;4-3-2;4-5-3;4-3-5;4-5-6;4-6-2;4-1-3;4-3-1;4-6-5;4-1-6;4-6-1;4-3-6;4-6-3,4-2-5;4-2-1;4-2-3;4-5-2;4-5-1;4-5-3,-0.5,-1.19,1,1,7,-0.377,-0.754,4attack,0.075144,0.067605,492,180,蒲郡,2.0,3-4m,左横_3-4m,favorable,1,32.6087,9.0373,23.5714,46,backfill,4.0,4
4-2-1,0,1,3,0,0,0,0,2026-01-02,1,5,1,backfill,same,B,1,1,1,5,0,1.7458,0.9365,まくり,5頭展開,4180,prior7,0.49484,0,202601020702,2-4-1-3-6,270,左横,0,51.2298,52.126,53.2298,0,0,5-2-4;5-4-2;5-2-1;5-1-2;5-2-3;5-4-1;5-1-4;5-2-6;5-3-2;5-4-3;5-3-4;5-4-6;5-6-2;5-1-3;5-3-1;5-6-4;5-1-6;5-6-1;5-3-6;5-6-3,5-2-4;5-2-1;5-2-3;5-4-2;5-4-1;5-4-3,-0.5,0,1,1,7,0.896,1.792,5head,0.06262,0.080538,492,180,蒲郡,2.0,3-4m,左横_3-4m,favorable,1,12.3288,3.7509,8.5779,73,backfill,4.0,4
1-4-5,0,0,1,0,0,0,0,2026-01-02,0,5,0,backfill,changed,B,1,1,1,4,0,1.1801,0.795,逃げ,4カドまくり,1210,prior7,0.347,0,202601020703,5-1-3-2-6,270,左横,0,34.6901,34.313,36.6901,0,0,4-5-1;4-1-5;4-5-3;4-3-5;4-5-2;4-1-3;4-3-1;4-5-6;4-2-5;4-1-2;4-2-1;4-1-6;4-6-5;4-3-2;4-2-3;4-6-1;4-3-6;4-6-3;4-2-6;4-6-2,4-5-1;4-5-3;4-5-2;4-1-5;4-1-3;4-1-2,-0.5,-1.19,1,1,7,-0.377,-0.754,4attack,0.075144,0.067605,492,180,蒲郡,2.0,3-4m,左横_3-4m,favorable,1,32.6087,9.0373,23.5714,46,backfill,3.0,1
4-1-6,2,2,1,1,1,1,1,2026-01-02,1,4,1,backfill,same,S,1,1,1,4,1,1.9752,0.9938,まくり差し,4カドまくり,3310,prior7,0.714,0,202601020806,6-1-5-2-3,90,右横,0,73.3352,73.53,73.3352,1,1,4-6-1;4-1-6;4-6-5;4-5-6;4-6-2;4-1-5;4-5-1;4-6-3;4-2-6;4-1-2;4-2-1;4-1-3;4-3-6;4-5-2;4-2-5;4-3-1;4-5-3;4-3-5;4-2-3;4-3-2,4-6-1;4-6-5;4-6-2;4-1-6;4-1-5;4-1-2,0,-0.04,1,1,8,0.194,0.389,4attack,0.075144,0.079034,504,180,常滑,0.0,5m+,右横_5m+,neutral,1,18.1818,-5.3896,23.5714,22,backfill,7.0,4
1-2-3,0,2,3,1,1,0,0,2026-01-02,1,5,1,backfill,same,A,1,1,1,5,0,-1.1165,0.2209,逃げ,5頭展開,460,prior7,0.64908,1,202601020812,1-2-3-4-6,90,右横,0,63.7915,63.819,65.7915,0,0,5-1-2;5-2-1;5-1-3;5-3-1;5-1-4;5-2-3;5-3-2;5-1-6;5-4-1;5-2-4;5-4-2;5-2-6;5-6-1;5-3-4;5-4-3;5-6-2;5-3-6;5-6-3;5-4-6;5-6-4,5-1-2;5-1-3;5-1-4;5-2-1;5-2-3;5-2-4,0,0,1,1,8,0.027,0.055,5head,0.06262,0.063167,504,180,常滑,2.0,5m+,右横_5m+,favorable,1,13.6364,5.0585,8.5779,44,backfill,8.0,1
1-5-3,0,0,1,1,1,0,0,2026-01-02,1,5,1,backfill,same,A,1,1,1,5,0,1.3343,0.8336,逃げ,5頭展開,2150,prior7,0.62392,1,202601021005,3-4-2-1-6,,missing,0,63.7263,63.308,63.7263,0,0,5-3-4;5-4-3;5-3-2;5-2-3;5-3-1;5-4-2;5-2-4;5-3-6;5-1-3;5-4-1;5-1-4;5-4-6;5-6-3;5-2-1;5-1-2;5-6-4;5-2-6;5-6-2;5-1-6;5-6-1,5-3-4;5-3-2;5-3-1;5-4-3;5-4-2;5-4-1,-0.5,0,1,1,10,-0.418,-0.836,5head,0.06262,0.054257,378,180,三国,0.0,0-2m,missing,neutral,0,0,0,0,0,backfill,2.0,1
2-6-5,0,2,1,1,1,0,0,2026-01-02,1,4,1,backfill,same,A,1,1,1,4,0,-1.2547,0.1863,差し,4カドまくり,23000,prior7,0.679,0,202601021007,5-6-2-1-3,,missing,0,66.6053,65.986,66.6053,0,0,4-5-6;4-6-5;4-5-2;4-2-5;4-5-1;4-6-2;4-2-6;4-5-3;4-1-5;4-6-1;4-1-6;4-6-3;4-3-5;4-2-1;4-1-2;4-3-6;4-2-3;4-3-2;4-1-3;4-3-1,4-5-6;4-5-2;4-5-1;4-6-5;4-6-2;4-6-1,0,-0.04,1,1,10,-0.62,-1.24,4attack,0.075144,0.062748,378,180,三国,0.0,0-2m,missing,neutral,0,0,0,0,0,backfill,1.0,2
5-4-2,0,4,5,1,1,1,1,2026-01-02,0,5,0,backfill,changed,S,1,1,1,3,0,2.0,1.0,まくり差し,3まくり差し,9460,prior7,0.676,1,202601021009,5-6-1-4-2,,missing,0,69.37,69.37,69.37,0,0,3-5-6;3-6-5;3-5-1;3-1-5;3-5-4;3-6-1;3-1-6;3-5-2;3-4-5;3-6-4;3-4-6;3-6-2;3-2-5;3-1-4;3-4-1;3-2-6;3-1-2;3-2-1;3-4-2;3-2-4,3-5-6;3-5-1;3-5-4;3-6-5;3-6-1;3-6-4,-0.5,-0.23,1,1,10,0.0,0.0,neutral,0.0,0.0,0,180,三国,0.0,0-2m,missing,neutral,0,0,0,0,0,backfill,1.0,5
1-3-5,0,5,0,1,1,0,0,2026-01-02,1,5,1,backfill,same,A,1,1,1,5,0,-1.292,0.177,逃げ,5頭展開,2260,prior7,0.67214,1,202601021201,4-1-6-2-3,,missing,0,65.922,65.671,65.922,0,0,5-4-1;5-1-4;5-4-6;5-6-4;5-4-2;5-1-6;5-6-1;5-4-3;5-2-4;5-1-2;5-2-1;5-1-3;5-3-4;5-6-2;5-2-6;5-3-1;5-6-3;5-3-6;5-2-3;5-3-2,5-4-1;5-4-6;5-4-2;5-1-4;5-1-6;5-1-2,-0.5,0,1,1,12,-0.251,-0.501,5head,0.06262,0.057607,408,180,住之江,0.0,3-4m,missing,neutral,0,0,0,0,0,backfill,3.0,1
