month,date,race_code,actual2,actual3,cond_rank,actual_second_regime,cond,p2,pair_rank,second_rank,third_rank,selected_SA,v96_rank
2026-06,2026-06-10,202606100903,1,6,2,INNER,1>2:0.152241044145|1>3:0.128008890444|1>5:0.505317896002|1>6:0.21443216941|2>1:0.051258501251|2>3:0.219079141259|2>5:0.51227705977|2>6:0.21738529772|3>1:0.0436768302456|3>2:0.222012721081|3>5:0.515540364312|3>6:0.218770084362|5>1:0.038980821714|5>2:0.759238442021|5>3:0.0289944105527|5>6:0.172786325713|6>1:0.045639320238|6>2:0.888927551261|6>3:0.0339470829536|6>5:0.0314860455477,1:0.148694094857|2:0.295210706254|3:0.274783525161|5:0.130047505615|6:0.151264168113,10,4,2,1,12
2026-06,2026-06-12,202606122306,1,2,2,INNER,1>2:0.339328461295|1>3:0.108001239293|1>5:0.438383956613|1>6:0.114286342799|2>1:0.637036440928|2>3:0.090038257156|2>5:0.216487250791|2>6:0.0564380511246|3>1:0.512800841125|3>2:0.227720999448|3>5:0.20582083442|3>6:0.0536573250067|5>1:0.0131906489152|5>2:0.00872032038646|5>3:0.00105550590428|5>6:0.977033524794|6>1:0.430249369685|6>2:0.284437283855|6>3:0.0344282341932|6>5:0.250885112268,1:0.177885142702|2:0.413699995149|3:0.0652581464777|5:0.227181910574|6:0.115974805097,6,3,2,1,4
2026-06,2026-06-13,202606130312,3,2,2,INNER,1>2:0.293917748767|1>3:0.100439499725|1>5:0.128944569489|1>6:0.476698182019|2>1:0.158164205664|2>3:0.18413523352|2>5:0.140027954526|2>6:0.51767260629|3>1:0.107318222836|3>2:0.365614521095|3>5:0.112215427753|3>6:0.414851828317|5>1:0.115647938826|5>2:0.0801759174184|5>3:0.000392277520919|5>6:0.803783866234|6>1:0.587363898904|6>2:0.407205177464|6>3:0.00199233688449|6>5:0.0034385867473,1:0.685060840749|2:0.135920561298|3:0.0380333933096|5:0.0326274579445|6:0.108357746699,13,4,2,0,17
2026-06,2026-06-13,202606130702,5,2,2,OUTER,1>2:0.141640037247|1>3:0.0418245198053|1>5:0.172852573581|1>6:0.643682869367|2>1:0.474768880934|2>3:0.0418030928738|2>5:0.102336988786|2>6:0.381091037406|3>1:0.399874524645|3>2:0.119235334823|3>5:0.101799743194|3>6:0.379090397338|5>1:0.00607184030284|5>2:0.207585174434|5>3:0.00240841806321|5>6:0.7839345672|6>1:0.0171635794362|6>2:0.586791557991|6>3:0.006807997688|6>5:0.389236864885,1:0.354429611342|2:0.236230739296|3:0.14355602266|5:0.145158758691|6:0.120624868012,12,3,2,0,12
2026-06,2026-06-13,202606132204,6,1,2,OUTER,1>2:0.114560204744|1>3:0.0262994313175|1>5:0.52943486116|1>6:0.329705502778|2>1:0.228069905357|2>3:0.0379313432971|2>5:0.452317855524|2>6:0.281680895822|3>1:0.180979648585|3>2:0.13111349818|3>5:0.423914280624|3>6:0.263992572611|5>1:0.000919496044364|5>2:0.000789024214522|5>3:0.000210239685366|5>6:0.998081240056|6>1:0.21404337963|6>2:0.183671708564|6>3:0.0489403005743|6>5:0.553344611231,1:0.117215312382|2:0.0718961787728|3:0.111844818208|5:0.278986511874|6:0.420057178764,3,1,2,1,5
2026-06,2026-06-14,202606140105,2,5,1,INNER,1>2:0.200268817152|1>3:0.00607366369822|1>5:0.510796083394|1>6:0.282861435755|2>1:0.274894144789|2>3:0.00924836259691|2>5:0.460724172169|2>6:0.255133320445|3>1:0.192865522958|3>2:0.213952098197|3>5:0.381770762|3>6:0.211411616845|5>1:0.0840416037425|5>2:0.307070403567|5>3:0.0055752505162|5>6:0.603312742174|6>1:0.209704034691|6>2:0.766214585332|6>3:0.0139115923019|6>5:0.010169787675,1:0.169833652969|2:0.354556113995|3:0.150161459133|5:0.0955151675359|6:0.229933606367,1,1,1,0,10
2026-06,2026-06-16,202606161202,2,6,2,INNER,1>2:0.090265524145|1>3:0.0172236536174|1>5:0.462129868863|1>6:0.430380953374|2>1:0.109665413902|2>3:0.0280907013542|2>5:0.44645806354|2>6:0.415785821204|3>1:0.0859954976013|3>2:0.115442371499|3>5:0.413484524374|3>6:0.385077606525|5>1:0.0612356063765|5>2:0.475705405374|5>3:0.00376193287415|5>6:0.459297055376|6>1:0.1117106776|6>2:0.867818191355|6>3:0.00686280573222|6>5:0.0136083253129,1:0.292778332251|2:0.502627501236|3:0.0707873681331|5:0.0713058286591|6:0.0625009697203,2,1,2,0,3
2026-06,2026-06-19,202606192007,1,6,1,INNER,1>2:0.0927582559463|1>3:0.097446459497|1>5:0.396806906101|1>6:0.412988378456|2>1:0.281010197736|2>3:0.121399065958|2>5:0.292824786351|2>6:0.304765949956|3>1:0.254916864212|3>2:0.10482825151|3>5:0.313730599067|3>6:0.32652428521|5>1:0.342661908107|5>2:0.000624855643777|5>3:0.00563654444543|5>6:0.651076691803|6>1:0.964447174227|6>2:0.00175870222421|6>3:0.0158644694207|6>5:0.0179296541277,1:0.478784312569|2:0.132022277908|3:0.12053792122|5:0.0977413385532|6:0.17091414975,1,1,1,1,1
2026-06,2026-06-19,202606192105,2,1,3,INNER,1>2:0.191039907967|1>3:0.0854349570738|1>5:0.373670447516|1>6:0.349854687444|2>1:0.194461332725|2>3:0.133889143019|2>5:0.346878865952|2>6:0.324770658304|3>1:0.151083876532|3>2:0.232604824422|3>5:0.318298988931|3>6:0.298012310116|5>1:0.174365759612|5>2:0.0230557967137|5>3:0.00515353408514|5>6:0.797424909589|6>1:0.659885671637|6>2:0.0872544582915|6>3:0.0195035040632|6>5:0.233356366008,1:0.805513082032|2:0.0706480979515|3:0.0324095905545|5:0.0380874345856|6:0.0533417948761,9,2,3,0,4
2026-06,2026-06-20,202606200608,1,5,1,INNER,1>2:0.0424312232917|1>3:0.0144947001859|1>5:0.915442879316|1>6:0.0276311972063|2>1:0.0970824644515|2>3:0.0228353323209|2>5:0.854296609582|2>6:0.0257855936458|3>1:0.0806760905125|3>2:0.0555504657274|3>5:0.838465681666|3>6:0.0253077620945|5>1:0.0899583485719|5>2:0.436412072135|5>3:0.345347085832|5>6:0.128282493461|6>1:0.0491594027208|6>2:0.238485445174|6>3:0.188721299806|6>5:0.523633852299,1:0.72686769392|2:0.0401291316296|3:0.0216661324945|5:0.125066322844|6:0.0862707191123,1,1,1,0,1
