date,month,race_code,venue,race,legacy_pre_p,hybrid_pre_p,hybrid_abs_threshold,p109,entry_course,head_hit,rank_l50,payout100
2026-04-19,2026-04,202604192405,24,05R,0.4991537664632704,0.4991537664632703,0.75,0.3470535207792113,1,0,0,2470
2026-04-19,2026-04,202604192406,24,06R,0.8027386316481783,0.8027386316481783,0.75,0.8604812056237116,1,1,13,3750
2026-04-19,2026-04,202604192407,24,07R,0.3083391552160887,0.3083391552160887,0.75,0.22621471188228887,1,0,0,4020
2026-04-19,2026-04,202604192408,24,08R,0.46055678594941907,0.46055678594941896,0.75,0.34833395086643915,1,1,1,1160
2026-04-19,2026-04,202604192409,24,09R,0.7045158627281792,0.7045158627281792,0.75,0.7728702297081733,1,0,0,16010
2026-04-19,2026-04,202604192410,24,10R,0.7243474273063305,0.7243474273063305,0.75,0.7243263703987513,1,0,0,6570
2026-04-19,2026-04,202604192411,24,11R,0.8452682500276504,0.8452682500276504,0.75,0.9317569226670285,1,1,1,770
2026-04-19,2026-04,202604192412,24,12R,0.8412080597285997,0.8412080597285998,0.75,0.8546425892084578,1,1,13,2910
2026-04-20,2026-04,202604200501,05,01R,0.1970237054977142,0.19702370549771417,0.75,0.18143506654132024,1,1,6,7040
2026-04-20,2026-04,202604200502,05,02R,0.1678620807725324,0.16786208077253245,0.75,0.16359126470386348,1,0,0,7970
2026-04-20,2026-04,202604200503,05,03R,0.21300772913487126,0.21300772913487118,0.75,0.20800631179643372,1,0,0,17190
2026-04-20,2026-04,202604200504,05,04R,0.39077034123083926,0.3907703412308393,0.75,0.43475425449348276,1,1,1,610
2026-04-20,2026-04,202604200505,05,05R,0.5052056944534753,0.5052056944534753,0.75,0.537044285078892,1,1,8,16120
2026-04-20,2026-04,202604200506,05,06R,0.5185127334525484,0.5185127334525484,0.75,0.5915328569983257,1,1,20,18440
2026-04-20,2026-04,202604200507,05,07R,0.3981873717564456,0.3981873717564456,0.75,0.28962827605572733,1,0,0,12560
2026-04-20,2026-04,202604200508,05,08R,0.2678386689017051,0.26783866890170505,0.75,0.3876311169219305,1,1,7,2540
2026-04-20,2026-04,202604200509,05,09R,0.58884393533713,0.58884393533713,0.75,0.7061519594308685,1,1,12,1490
2026-04-20,2026-04,202604200510,05,10R,0.48092206832147716,0.48092206832147716,0.75,0.6737332286985617,1,1,9,790
2026-04-20,2026-04,202604200511,05,11R,0.7094369232740079,0.7094369232740079,0.75,0.8167793160633062,1,1,2,480
2026-04-20,2026-04,202604200512,05,12R,0.6119231644636449,0.6119231644636449,0.75,0.5388586558707297,1,1,2,1040
2026-04-20,2026-04,202604200601,06,01R,0.2810732600915578,0.2810732600915578,0.75,0.3719099270147829,1,0,0,1300
2026-04-20,2026-04,202604200602,06,02R,0.3155905043782552,0.31559050437825514,0.75,0.22670939254395656,1,0,0,6660
2026-04-20,2026-04,202604200603,06,03R,0.5212049825671727,0.5212049825671727,0.75,0.6459982169630435,1,0,0,27220
2026-04-20,2026-04,202604200604,06,04R,0.7037646665956551,0.7037646665956551,0.75,0.8033135268057571,1,1,2,980
2026-04-20,2026-04,202604200605,06,05R,0.5432060673549907,0.5432060673549907,0.75,0.6307290282508642,1,1,1,520
2026-04-20,2026-04,202604200606,06,06R,0.5055192191465443,0.5055192191465443,0.75,0.6046288078159743,1,1,5,1610
2026-04-20,2026-04,202604200607,06,07R,0.38991240036097125,0.38991240036097113,0.75,0.40894851973463914,1,0,0,6680
2026-04-20,2026-04,202604200608,06,08R,0.6875072859651327,0.6875072859651326,0.75,0.699947269076901,1,1,3,1280
2026-04-20,2026-04,202604200609,06,09R,0.22378283608175056,0.2237828360817505,0.75,0.10234750454673572,1,0,0,1190
2026-04-20,2026-04,202604200610,06,10R,0.6058731620921795,0.6058731620921795,0.75,0.6116313541466687,1,0,0,23660
2026-04-20,2026-04,202604200611,06,11R,0.4846941379812334,0.4846941379812333,0.75,0.40907882645962307,1,0,0,2190
2026-04-20,2026-04,202604200612,06,12R,0.7025225922125683,0.7025225922125683,0.75,0.7004207156949772,1,1,2,530
2026-04-20,2026-04,202604200701,07,01R,0.4744891120568569,0.4744891120568569,0.75,0.6457460711267737,1,1,3,1570
2026-04-20,2026-04,202604200703,07,03R,0.5732729505061462,0.573272950506146,0.75,0.41141575271375797,1,1,9,4780
2026-04-20,2026-04,202604200704,07,04R,0.39968015462554507,0.39968015462554507,0.75,0.5464543897558447,1,0,0,18680
2026-04-20,2026-04,202604200705,07,05R,0.42979324725782414,0.42979324725782414,0.75,0.4849680427514241,1,0,0,2090
2026-04-20,2026-04,202604200706,07,06R,0.4215210645008992,0.42152106450089916,0.75,0.5199242616684777,1,1,3,1490
2026-04-20,2026-04,202604200707,07,07R,0.5205857234852377,0.5205857234852376,0.75,0.6684352822806872,1,0,0,5600
2026-04-20,2026-04,202604200708,07,08R,0.41572315192178405,0.415723151921784,0.75,0.38074564478816814,1,1,1,2670
2026-04-20,2026-04,202604200709,07,09R,0.6497234687170566,0.6497234687170564,0.75,0.6455561616346652,1,1,11,3690
2026-04-20,2026-04,202604200710,07,10R,0.8154617859373473,0.8154617859373473,0.75,0.8647211919930151,1,1,3,870
2026-04-20,2026-04,202604200711,07,11R,0.7698676374662276,0.7698676374662274,0.75,0.7955547262779139,1,0,0,1750
2026-04-20,2026-04,202604200712,07,12R,0.623898284062745,0.623898284062745,0.75,0.621329791187074,1,1,6,2070
2026-04-20,2026-04,202604200801,08,01R,0.6900597185309123,0.6900597185309123,0.75,0.8500882092822047,1,0,0,3970
2026-04-20,2026-04,202604200802,08,02R,0.5565776853293279,0.5565776853293279,0.75,0.5665924801397271,1,1,15,1670
2026-04-20,2026-04,202604200803,08,03R,0.44765521521258184,0.4476552152125818,0.75,0.49681677450966333,1,1,1,940
