actual_combo,coverage,date,head,head_hit,head_prob,invest,kelly_hit,kelly_invest,kelly_return,model,payout100,race_code,return,score,set_ev,set_prob,synthetic_odds,ticket_hit,tickets_n,winner
1-3-2,0.5428305175964324,2026-08-11,3,0,0.21975522342172224,2000,0,0,0,3まくり,2260,202608111311,0,60.896,3.189801676620908,0.11928984167453313,26.739927154265725,0,14,1
5-3-1,0.5903277717226871,2026-08-11,5,1,0.17721283146864256,2000,0,0,0,5頭展開,58150,202608110111,0,58.36566666666667,3.3764649433598555,0.10461365592155185,32.275565877286745,0,10,5
2-6-5,0.5291489205173691,2026-08-11,5,0,0.24089611747629835,2000,0,0,0,5頭展開,54620,202608110412,0,69.96166666666667,3.3706217926420274,0.12746992051940859,26.442487599486782,0,10,2
5-4-1,0.5633528753002398,2026-08-11,5,1,0.2099836267283335,2000,0,0,0,5頭展開,3080,202608110708,0,66.03333333333335,3.3308003587689723,0.11829487988337897,28.15675845017673,0,12,5
5-6-4,0.5484861385759767,2026-08-11,5,1,0.14226906867524028,2000,0,0,0,5頭展開,3230,202608111303,0,45.967,1.4453098397040203,0.07803261211648299,18.521869260848753,0,10,5
1-3-4,0.5557630163739908,2026-08-11,5,0,0.14201596850959453,2000,0,0,0,5頭展開,7750,202608111310,0,45.831,2.161338098103234,0.07892722303216596,27.383936936719586,0,11,1
1-4-3,0.5563599950612551,2026-08-11,5,0,0.16958542274035204,2000,0,0,0,5頭展開,2080,202608111604,0,54.66700000000001,3.8870041794620223,0.09435054495828313,41.19747460049809,0,12,1
3-1-6,0.5195748951601483,2026-08-11,5,0,0.14115970444090314,2000,0,0,0,5頭展開,57600,202608111911,0,33.97666666666667,3.492965215995083,0.07334303863571977,47.62504091688843,0,11,3
2-1-5,0.5234938504341323,2026-08-11,5,0,0.1885610998346176,2000,0,0,0,5頭展開,4880,202608112010,0,60.266666666666666,3.6977923442872305,0.0987105761945188,37.46095390022211,0,9,2
1-5-6,0.5722891339326887,2026-08-11,5,0,0.12810164062104415,2000,0,0,0,5頭展開,5140,202608112011,0,41.489333333333335,3.2630345319779406,0.07331117696637389,44.5093731543093,0,13,1
1-3-2,0.5183741529283169,2026-08-11,5,0,0.16785582203736746,2000,0,0,0,5頭展開,1850,202608112112,0,54.36133333333333,2.0857570069490974,0.08701211956270666,23.97087919971842,0,12,1
5-1-6,0.5353576337911772,2026-08-12,3,0,0.18290236393058504,2000,0,0,0,3まくり,6630,202608120605,0,48.96300000000001,1.3258132457624345,0.09791817676869076,13.540011563883224,0,11,5
3-2-6,0.5307674479395815,2026-08-12,3,1,0.19092795166601587,2000,0,0,0,3まくり,5880,202608120704,0,49.96300000000001,2.0683900637291335,0.10133834164610302,20.410735266938065,0,9,3
6-5-3,0.5117854484499558,2026-08-12,3,0,0.25119802173781114,2000,0,0,0,3まくり,8990,202608121306,0,66.80300000000001,2.22339005894543,0.1285594922048274,17.294639398567426,0,12,6
5-1-6,0.5654891980491179,2026-08-12,3,0,0.1794397531220459,2000,0,0,0,3まくり,11240,202608121312,0,37.907000000000004,2.660410513413256,0.10147124209111744,26.218369447220383,0,13,5
1-4-5,0.5303098996933282,2026-08-12,3,0,0.2639618889786594,2000,0,0,0,3まくり,4700,202608121905,0,68.50933333333334,1.7760960898250617,0.13998160286713432,12.688067956407604,0,13,1
3-1-4,0.5087464322491706,2026-08-12,3,1,0.3051017545286356,2000,0,0,0,3まくり,3570,202608122410,14280,91.59766666666667,1.8383675929302705,0.1552194290894056,11.843669337756554,1,10,3
1-2-4,0.5190018804310909,2026-08-12,5,0,0.16746472810398,2000,0,0,0,5頭展開,770,202608120307,0,53.276999999999994,1.8593563438057938,0.08691450879184696,21.392933926127316,0,9,1
1-4-6,0.5110558855284121,2026-08-12,5,0,0.13417559561301934,2000,0,0,0,5頭展開,4830,202608120608,0,41.29566666666667,1.766710233814558,0.06857122783231372,25.764599667588392,0,11,1
2-1-3,0.5797841626440746,2026-08-12,5,0,0.22641130841906243,2000,0,0,0,5頭展開,16940,202608121301,0,66.147,2.9696781239176833,0.13126969086489543,22.622725050629676,0,12,2
1-2-4,0.5258671304037739,2026-08-12,5,0,0.14158418756498248,2000,0,0,0,5頭展開,660,202608121307,0,36.415,4.046300694521904,0.07445447042534702,54.345973739467986,0,9,1
1-2-3,0.561754252468485,2026-08-12,5,0,0.24221512399907805,2000,0,1200,0,5頭展開,930,202608122012,0,68.74133333333334,7.556880933783908,0.1360653759186635,55.53860328362465,0,11,1
1-5-6,0.5352276004050401,2026-08-12,5,0,0.22778497660900687,2000,0,1000,0,5頭展開,9890,202608122106,0,66.62933333333334,4.871466670996531,0.12191680643875695,39.95730214147004,0,8,1
4-5-1,0.510394578899015,2026-08-13,5,0,0.18984684848703795,2000,0,0,0,5頭展開,39790,202608130712,0,59.09600000000002,7.084475872892369,0.09689680228884683,73.1136188764386,0,11,4
1-3-5,0.5095432568182885,2026-08-13,5,0,0.183385158612198,2000,0,0,0,5頭展開,1040,202608131212,0,58.257000000000005,5.258471986748043,0.09344267097139777,56.274846727761336,0,10,1
1-3-2,0.533536838848658,2026-08-14,3,0,0.2676173144354009,2000,0,0,0,3まくり,1510,202608140303,0,68.94099999999999,1.3987576600887284,0.1427836959650311,9.796340195811261,0,10,1
1-4-5,0.513663692716752,2026-08-14,3,0,0.17295198116341026,2000,0,0,0,3まくり,1130,202608141305,0,39.356,3.0544198085430962,0.08883915330707545,34.38146014275253,0,13,1
1-5-3,0.5053315701392964,2026-08-14,3,0,0.22467278767176377,2000,0,0,0,3まくり,2660,202608141308,0,58.696000000000005,2.37652130528943,0.11353425256174514,20.932196686607583,0,13,1
1-3-4,0.563945380092839,2026-08-14,3,0,0.17351611586386712,2000,0,0,0,3まくり,610,202608141912,0,39.22,2.8775140260038077,0.09785361191308163,29.40631387791548,0,13,1
4-2-1,0.5318339094545014,2026-08-14,5,0,0.15535847973655031,2000,0,0,0,5頭展開,3230,202608140306,0,45.977000000000004,2.137358621615279,0.08262490764519749,25.868211929426725,0,10,4
1-2-6,0.5665121237905104,2026-08-14,5,0,0.17274961877094314,2000,0,0,0,5頭展開,3810,202608140712,0,52.80800000000001,3.2776531025877595,0.09786475341392802,33.49166056470426,0,12,1
1-2-3,0.5370975682203595,2026-08-14,5,0,0.13668299713796886,2000,0,0,0,5頭展開,450,202608140812,0,30.773,11.2057272138251,0.07341210537987343,152.64140914963116,0,12,1
4-1-3,0.5016741734012293,2026-08-14,5,0,0.23834384474211937,2000,0,0,0,5頭展開,3140,202608141210,0,70.253,6.494198619141752,0.11957095129627367,54.31251109686654,0,12,4
2-4-3,0.5108811754528596,2026-08-14,5,0,0.1752169803252066,2000,0,0,0,5頭展開,13880,202608141302,0,55.315000000000005,1.9148151376204696,0.08951505686784213,21.39098387042815,0,12,2
1-2-3,0.5149370211399585,2026-08-14,5,0,0.12995703436129277,2000,0,0,0,5頭展開,900,202608141304,0,42.199,2.0943879880905447,0.06691968815018734,31.297037478568726,0,10,1
1-3-5,0.5047310967761277,2026-08-14,5,0,0.1778185372798206,2000,0,0,0,5頭展開,1670,202608142204,0,50.660000000000004,3.5130366178454406,0.08975054534837061,39.1422314394797,0,11,1
3-1-2,0.501453300655567,2026-08-14,5,0,0.17387808245464428,2000,0,800,0,5頭展開,7190,202608142312,0,54.64833333333333,8.976055445272936,0.08719173835854221,102.94616914692523,0,8,3
1-3-5,0.5196064766761428,2026-08-15,3,0,0.3170904789408881,2000,0,0,0,3まくり,1420,202608150506,0,80.23466666666667,1.4084868636713272,0.16476226655002552,8.548600921581029,0,11,1
3-5-2,0.5291299527210251,2026-08-15,3,1,0.22620717715781663,2000,0,0,0,3まくり,46720,202608150509,46720,55.98433333333333,1.401542708918118,0.11969299295467208,11.70948001483165,1,12,3
4-1-6,0.5067180845698012,2026-08-15,3,0,0.21139683556387204,2000,0,0,0,3まくり,1890,202608151706,0,51.477,2.0716142630145558,0.10711859960104246,19.33944497715778,0,12,4
1-2-4,0.5156704661867564,2026-08-15,5,0,0.1687187193262269,2000,0,0,0,5頭展開,440,202608150911,0,51.28666666666667,3.7874053035185598,0.08700326064938793,43.53176277819427,0,10,1
1-4-2,0.5598257553972159,2026-08-15,5,0,0.18739141972027135,2000,0,0,0,5頭展開,1240,202608151108,0,60.35033333333334,2.6142820472492163,0.10490654309985765,24.92010479042049,0,11,1
1-2-6,0.502519026199411,2026-08-15,5,0,0.12623641962614257,2000,0,0,0,5頭展開,1000,202608151903,0,35.876666666666665,1.3721871233497664,0.06343620266142938,21.630978302301294,0,10,1
