actual_combo,combo,combo_prob,date,ev,hit,market_share,model,odds,pair_prob,payout100,race,race_code,return,stake,train_pair_count,venue
3-5-6,3-4-2,0.0053880580957337285,2026-08-28,1.1190996664838953,0,0.013928337588781663,3まくり,207.7,0.08052761916623782,0,03R,202608280903,0,500,23,09
3-5-6,3-4-6,0.005124435520984865,2026-08-28,0.12093667829524281,0,0.12258117445720132,3まくり,23.6,0.07658762855629829,0,03R,202608280903,0,500,21,09
3-5-6,3-1-5,0.004513849573791996,2026-08-28,0.28888637272268775,0,0.04520180808109299,3まくり,64.0,0.06746207130539633,0,03R,202608280903,0,400,19,09
3-5-6,3-4-1,0.004279674830551592,2026-08-28,0.27732292901974315,0,0.04464376106774616,3まくり,64.8,0.06396219543045983,0,03R,202608280903,0,400,18,09
3-5-6,3-5-2,0.004233518963761153,2026-08-28,0.6155536573308716,0,0.019896256651925386,3まくり,145.4,0.06327236952339861,0,03R,202608280903,0,400,18,09
3-5-6,3-2-4,0.004229270307734431,2026-08-28,0.6944461845299935,0,0.017618244319061824,3まくり,164.2,0.0632088709217857,0,03R,202608280903,0,400,18,09
3-5-6,3-2-1,0.004014711726168886,2026-08-28,0.42114326007511615,0,0.027577842871210206,3まくり,104.9,0.06000216983613129,0,03R,202608280903,0,400,17,09
3-5-6,3-4-5,0.0038070020308944644,2026-08-28,0.2672515425687914,0,0.041209625600996454,3まくり,70.2,0.0568978292850452,0,03R,202608280903,0,400,16,09
3-5-6,3-1-2,0.0035807901601974702,2026-08-28,0.2306028863167171,0,0.044921051509160724,3まくり,64.4,0.05351696310826929,0,03R,202608280903,0,400,15,09
3-5-6,3-5-1,0.003547387287477253,2026-08-28,0.37992517848881374,0,0.027011351234266585,3まくり,107.1,0.053017738013498725,0,03R,202608280903,0,300,15,09
3-5-6,3-1-4,0.003373763117431842,2026-08-28,0.16565176906590345,0,0.058918853710589636,3まくり,49.1,0.05042282519053908,0,03R,202608280903,0,300,14,09
3-5-6,3-6-1,0.0031810336285992367,2026-08-28,0.11419910726671259,0,0.08058261050668389,3まくり,35.9,0.04754237241830477,0,03R,202608280903,0,300,13,09
3-5-6,3-5-4,0.0026195857087477595,2026-08-28,0.25645744088640565,0,0.029549700890602156,3まくり,97.9,0.03915121117465093,0,03R,202608280903,0,300,11,09
1-2-4,3-4-2,0.005269935896771694,2026-08-28,0.9443725127014875,0,0.024926802540271298,3まくり,179.2,0.0808341965864884,0,04R,202608281004,0,500,23,10
1-2-4,3-4-6,0.004799604951026066,2026-08-28,1.3304504924244254,0,0.016114296591690537,3まくり,277.2,0.0736199107063886,0,04R,202608281004,0,400,21,10
1-2-4,3-1-5,0.0047081549960155365,2026-08-28,0.09745880841752161,0,0.21579145001046457,3まくり,20.7,0.07221718327555303,0,04R,202608281004,0,400,19,10
1-2-4,3-4-1,0.0042014334077286105,2026-08-28,0.3029233486972328,0,0.06195399466319857,3まくり,72.1,0.06444471065263271,0,04R,202608281004,0,400,18,10
1-2-4,3-5-2,0.00415543812977207,2026-08-28,0.5065479080192153,0,0.03664383113385247,3まくり,121.9,0.06373920086784259,0,04R,202608281004,0,400,18,10
1-2-4,3-2-4,0.004128137525312172,2026-08-28,0.8528732127294947,0,0.021620924565424086,3まくり,206.6,0.06332044389032541,0,04R,202608281004,0,400,18,10
1-2-4,3-2-1,0.003910442248439886,2026-08-28,0.651088634365241,0,0.026828126217517217,3まくり,166.5,0.059981271810941254,0,04R,202608281004,0,400,17,10
1-2-4,3-4-5,0.00374983583805569,2026-08-28,0.2639884429991206,0,0.06345004282978148,3まくり,70.4,0.05751777122870471,0,04R,202608281004,0,300,16,10
1-2-4,3-5-1,0.0036594687527420995,2026-08-28,0.11783489383829561,0,0.1387230750067272,3まくり,32.2,0.05613165365872411,0,04R,202608281004,0,300,15,10
1-2-4,3-1-2,0.003533225024614369,2026-08-28,0.2278930140876268,0,0.06925400023591653,3まくり,64.5,0.05419523345605342,0,04R,202608281004,0,300,15,10
1-2-4,3-1-4,0.0033910584374635395,2026-08-28,0.13055574984234627,0,0.11602293546017187,3まくり,38.5,0.052014576598192946,0,04R,202608281004,0,300,14,10
1-2-4,3-6-1,0.0029703345102827616,2026-08-28,1.3954631529308414,0,0.009508052395097097,3まくり,469.8,0.045561200066762286,0,04R,202608281004,0,300,13,10
1-2-4,3-1-6,0.0027817649608753844,2026-08-28,0.4041904488151934,0,0.03074248461952248,3まくり,145.3,0.04266878005908077,0,04R,202608281004,0,300,12,10
1-2-4,3-5-4,0.002608882188280664,2026-08-28,0.19227461727628495,0,0.06060899613591066,3まくり,73.7,0.04001697550204629,0,04R,202608281004,0,300,11,10
1-6-3,3-4-2,0.005397810508956752,2026-08-28,1.238257730754679,0,0.009440526650394158,3まくり,229.4,0.08040252339095175,0,07R,202608281007,0,500,23,10
1-6-3,3-4-6,0.004941566788872517,2026-08-28,0.6844070002588436,0,0.01563651128953372,3まくり,138.5,0.0736065926491856,0,07R,202608281007,0,500,21,10
1-6-3,3-1-5,0.004619152568917661,2026-08-28,0.10716433959888973,0,0.09334727644829398,3まくり,23.2,0.0688041052668514,0,07R,202608281007,0,500,19,10
1-6-3,3-4-1,0.0042412265471450895,2026-08-28,0.5602660268778663,0,0.016394071261168965,3まくり,132.1,0.06317474763097335,0,07R,202608281007,0,400,18,10
1-6-3,3-5-2,0.004240904818570968,2026-08-28,0.5661607932792242,0,0.01622214841648255,3まくり,133.5,0.063169955356557,0,07R,202608281007,0,400,18,10
1-6-3,3-2-4,0.004232219683206876,2026-08-28,0.7914250807596859,0,0.01158105247914663,3まくり,187.0,0.063040586828687,0,07R,202608281007,0,400,18,10
1-6-3,3-2-1,0.004060709278013333,2026-08-28,0.19572618720024265,0,0.04493063928631577,3まくり,48.2,0.060485871478364206,0,07R,202608281007,0,400,17,10
1-6-3,3-4-5,0.0037645445559758624,2026-08-28,0.6986994695891201,0,0.011668409556036747,3まくり,185.6,0.05607438075417524,0,07R,202608281007,0,400,16,10
1-6-3,3-1-2,0.0037390572198140967,2026-08-28,0.0658074070687281,0,0.12304868259093296,3まくり,17.6,0.055694736796959805,0,07R,202608281007,0,400,15,10
1-6-3,3-5-1,0.0035695498160039185,2026-08-28,0.23808897272746138,0,0.032468617895058775,3まくり,66.7,0.05316985694481,0,07R,202608281007,0,400,15,10
1-6-3,3-1-4,0.003355121934569769,2026-08-28,0.16943365769577334,0,0.04288429333862218,3まくり,50.5,0.04997586880386403,0,07R,202608281007,0,400,14,10
1-6-3,3-5-4,0.0025914255192977555,2026-08-28,0.5734824674205933,0,0.0097860678427493,3まくり,221.3,0.038600308511296144,0,07R,202608281007,0,300,11,10
1-4-5,3-4-2,0.005567693026675876,2026-08-28,0.48104867750479574,0,0.023227943484544714,3まくり,86.4,0.08078684163023121,0,03R,202608281103,0,700,23,11
1-4-5,3-4-6,0.00505576282353645,2026-08-28,1.5040894400020939,0,0.006745863250637524,3まくり,297.5,0.07335876970733485,0,03R,202608281103,0,600,21,11
1-4-5,3-1-5,0.004854610835724561,2026-08-28,0.06408086303156421,0,0.1520374482624745,3まくり,13.2,0.07044006824425017,0,03R,202608281103,0,600,19,11
1-4-5,3-4-1,0.0045760465064591345,2026-08-28,0.06955590689817884,0,0.1320325208595173,3まくり,15.2,0.06639811904834891,0,03R,202608281103,0,600,18,11
1-4-5,3-2-4,0.004359402865438911,2026-08-28,0.4542497785787345,0,0.019260022236705022,3まくり,104.2,0.06325463476617993,0,03R,202608281103,0,600,18,11
