date,month,race_code,layer,n,winner,second,third,head4_win,hit,return_yen,profit_yen,comp_odds,comp_band,tickets
2026-04-01,2026-04,202604010804,S,19,4,1,3,1,1,27100.0,17100.0,2.676386596525135,<3,4-1-5|4-2-5|4-2-1|4-1-6|4-5-1|4-1-2|4-5-6|4-3-5|4-5-2|4-2-6|4-3-1|4-2-3|4-1-3|4-6-5|4-3-2|4-5-3|4-3-6|4-6-1|4-6-2
2026-04-01,2026-04,202604010804,S,20,4,1,3,1,1,27100.0,17100.0,2.667201749622256,<3,4-1-5|4-2-5|4-2-1|4-1-6|4-5-1|4-1-2|4-5-6|4-3-5|4-5-2|4-2-6|4-3-1|4-2-3|4-1-3|4-6-5|4-3-2|4-5-3|4-3-6|4-6-1|4-6-2|4-6-3
2026-04-02,2026-04,202604020108,S,2,1,2,4,0,0,0.0,-10000.0,6.069958847736625,6-8,4-5-1|4-1-5
2026-04-02,2026-04,202604020108,S,3,1,2,4,0,0,0.0,-10000.0,4.959182660695011,4-5,4-5-1|4-1-5|4-1-2
2026-04-02,2026-04,202604020108,S,4,1,2,4,0,0,0.0,-10000.0,4.251643219902927,4-5,4-5-1|4-1-5|4-1-2|4-5-2
2026-04-02,2026-04,202604020108,S,5,1,2,4,0,0,0.0,-10000.0,4.11689667759099,4-5,4-5-1|4-1-5|4-1-2|4-5-2|4-5-3
2026-04-02,2026-04,202604020108,S,6,1,2,4,0,0,0.0,-10000.0,3.4941644662469042,3-4,4-5-1|4-1-5|4-1-2|4-5-2|4-5-3|4-5-6
2026-04-02,2026-04,202604020108,S,7,1,2,4,0,0,0.0,-10000.0,3.3680289147443134,3-4,4-5-1|4-1-5|4-1-2|4-5-2|4-5-3|4-5-6|4-1-3
2026-04-02,2026-04,202604020108,S,8,1,2,4,0,0,0.0,-10000.0,3.1259957199797443,3-4,4-5-1|4-1-5|4-1-2|4-5-2|4-5-3|4-5-6|4-1-3|4-1-6
2026-04-02,2026-04,202604020108,S,9,1,2,4,0,0,0.0,-10000.0,2.9836028972773305,<3,4-5-1|4-1-5|4-1-2|4-5-2|4-5-3|4-5-6|4-1-3|4-1-6|4-2-1
2026-04-02,2026-04,202604020108,S,10,1,2,4,0,0,0.0,-10000.0,2.8516910569715894,<3,4-5-1|4-1-5|4-1-2|4-5-2|4-5-3|4-5-6|4-1-3|4-1-6|4-2-1|4-2-5
2026-04-02,2026-04,202604020108,S,11,1,2,4,0,0,0.0,-10000.0,2.8300025512830627,<3,4-5-1|4-1-5|4-1-2|4-5-2|4-5-3|4-5-6|4-1-3|4-1-6|4-2-1|4-2-5|4-2-3
2026-04-02,2026-04,202604020108,S,12,1,2,4,0,0,0.0,-10000.0,2.7258960365987592,<3,4-5-1|4-1-5|4-1-2|4-5-2|4-5-3|4-5-6|4-1-3|4-1-6|4-2-1|4-2-5|4-2-3|4-6-5
2026-04-02,2026-04,202604020108,S,13,1,2,4,0,0,0.0,-10000.0,2.645761904495986,<3,4-5-1|4-1-5|4-1-2|4-5-2|4-5-3|4-5-6|4-1-3|4-1-6|4-2-1|4-2-5|4-2-3|4-6-5|4-6-1
2026-04-02,2026-04,202604020108,S,14,1,2,4,0,0,0.0,-10000.0,2.633443192198298,<3,4-5-1|4-1-5|4-1-2|4-5-2|4-5-3|4-5-6|4-1-3|4-1-6|4-2-1|4-2-5|4-2-3|4-6-5|4-6-1|4-3-2
2026-04-02,2026-04,202604020108,S,15,1,2,4,0,0,0.0,-10000.0,2.6116440912394405,<3,4-5-1|4-1-5|4-1-2|4-5-2|4-5-3|4-5-6|4-1-3|4-1-6|4-2-1|4-2-5|4-2-3|4-6-5|4-6-1|4-3-2|4-3-5
2026-04-02,2026-04,202604020108,S,16,1,2,4,0,0,0.0,-10000.0,2.5849184891079506,<3,4-5-1|4-1-5|4-1-2|4-5-2|4-5-3|4-5-6|4-1-3|4-1-6|4-2-1|4-2-5|4-2-3|4-6-5|4-6-1|4-3-2|4-3-5|4-3-1
2026-04-02,2026-04,202604020108,S,17,1,2,4,0,0,0.0,-10000.0,2.5457255584103358,<3,4-5-1|4-1-5|4-1-2|4-5-2|4-5-3|4-5-6|4-1-3|4-1-6|4-2-1|4-2-5|4-2-3|4-6-5|4-6-1|4-3-2|4-3-5|4-3-1|4-2-6
2026-04-02,2026-04,202604020108,S,18,1,2,4,0,0,0.0,-10000.0,2.510087004912074,<3,4-5-1|4-1-5|4-1-2|4-5-2|4-5-3|4-5-6|4-1-3|4-1-6|4-2-1|4-2-5|4-2-3|4-6-5|4-6-1|4-3-2|4-3-5|4-3-1|4-2-6|4-6-2
2026-04-02,2026-04,202604020108,S,19,1,2,4,0,0,0.0,-10000.0,2.498726705271197,<3,4-5-1|4-1-5|4-1-2|4-5-2|4-5-3|4-5-6|4-1-3|4-1-6|4-2-1|4-2-5|4-2-3|4-6-5|4-6-1|4-3-2|4-3-5|4-3-1|4-2-6|4-6-2|4-6-3
2026-04-02,2026-04,202604020108,S,20,1,2,4,0,0,0.0,-10000.0,2.4908083219737067,<3,4-5-1|4-1-5|4-1-2|4-5-2|4-5-3|4-5-6|4-1-3|4-1-6|4-2-1|4-2-5|4-2-3|4-6-5|4-6-1|4-3-2|4-3-5|4-3-1|4-2-6|4-6-2|4-6-3|4-3-6
2026-04-02,2026-04,202604022209,S,2,1,2,4,0,0,0.0,-10000.0,7.392739273927393,6-8,4-1-5|4-5-1
2026-04-02,2026-04,202604022209,S,3,1,2,4,0,0,0.0,-10000.0,6.706086264232935,6-8,4-1-5|4-5-1|4-1-3
2026-04-02,2026-04,202604022209,S,4,1,2,4,0,0,0.0,-10000.0,6.377841043822796,6-8,4-1-5|4-5-1|4-1-3|4-5-3
2026-04-02,2026-04,202604022209,S,5,1,2,4,0,0,0.0,-10000.0,5.352662876105845,5-6,4-1-5|4-5-1|4-1-3|4-5-3|4-1-2
2026-04-02,2026-04,202604022209,S,6,1,2,4,0,0,0.0,-10000.0,4.568834897215404,4-5,4-1-5|4-5-1|4-1-3|4-5-3|4-1-2|4-1-6
2026-04-02,2026-04,202604022209,S,7,1,2,4,0,0,0.0,-10000.0,4.363720508914743,4-5,4-1-5|4-5-1|4-1-3|4-5-3|4-1-2|4-1-6|4-6-1
2026-04-02,2026-04,202604022209,S,8,1,2,4,0,0,0.0,-10000.0,4.174930559626286,4-5,4-1-5|4-5-1|4-1-3|4-5-3|4-1-2|4-1-6|4-6-1|4-2-1
2026-04-02,2026-04,202604022209,S,9,1,2,4,0,0,0.0,-10000.0,3.6737061172707413,3-4,4-1-5|4-5-1|4-1-3|4-5-3|4-1-2|4-1-6|4-6-1|4-2-1|4-5-6
2026-04-02,2026-04,202604022209,S,10,1,2,4,0,0,0.0,-10000.0,3.5213345249812225,3-4,4-1-5|4-5-1|4-1-3|4-5-3|4-1-2|4-1-6|4-6-1|4-2-1|4-5-6|4-6-5
2026-04-02,2026-04,202604022209,S,11,1,2,4,0,0,0.0,-10000.0,3.3079912330873458,3-4,4-1-5|4-5-1|4-1-3|4-5-3|4-1-2|4-1-6|4-6-1|4-2-1|4-5-6|4-6-5|4-5-2
2026-04-02,2026-04,202604022209,S,12,1,2,4,0,0,0.0,-10000.0,3.2598503563024126,3-4,4-1-5|4-5-1|4-1-3|4-5-3|4-1-2|4-1-6|4-6-1|4-2-1|4-5-6|4-6-5|4-5-2|4-3-1
2026-04-02,2026-04,202604022209,S,13,1,2,4,0,0,0.0,-10000.0,3.234937968658314,3-4,4-1-5|4-5-1|4-1-3|4-5-3|4-1-2|4-1-6|4-6-1|4-2-1|4-5-6|4-6-5|4-5-2|4-3-1|4-2-3
2026-04-02,2026-04,202604022209,S,14,1,2,4,0,0,0.0,-10000.0,3.14709787876109,3-4,4-1-5|4-5-1|4-1-3|4-5-3|4-1-2|4-1-6|4-6-1|4-2-1|4-5-6|4-6-5|4-5-2|4-3-1|4-2-3|4-2-5
