ensemble,members,weights,min_n,R,heads,head_rate,cut,monthly_floor,months,month_detail,pass_40
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,0.60+0.10+0.30,200,200,62,0.31,0.21313483348653234,0.2463768115942029,3,2026-04:69R/24.64%;2026-05:75R/37.33%;2026-06:56R/30.36%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+PLAYER_COURSE,ENV_ENTRY+OPP_CONTEXT+PLAYER_COURSE,0.50+0.40+0.10,200,200,62,0.31,0.23574821766422877,0.24615384615384617,3,2026-04:65R/24.62%;2026-05:81R/37.04%;2026-06:54R/29.63%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,0.40+0.10+0.50,200,200,62,0.31,0.1823626330740277,0.23880597014925373,3,2026-04:67R/23.88%;2026-05:73R/35.62%;2026-06:60R/33.33%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,0.50+0.30+0.20,200,200,62,0.31,0.23974732634990745,0.23076923076923078,3,2026-04:65R/23.08%;2026-05:76R/39.47%;2026-06:59R/28.81%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,0.50+0.10+0.40,200,210,65,0.30952380952380953,0.19436481445968495,0.2571428571428571,3,2026-04:70R/25.71%;2026-05:78R/34.62%;2026-06:62R/32.26%,False
TRIPLE:ENV_ENTRY+PLAYER_COURSE+ALL_SAFE_HGB,ENV_ENTRY+PLAYER_COURSE+ALL_SAFE_HGB,0.50+0.10+0.40,200,204,63,0.3088235294117647,0.19930758126621517,0.2535211267605634,3,2026-04:71R/25.35%;2026-05:77R/33.77%;2026-06:56R/33.93%,False
PAIR:ENV_ENTRY+OPP_CONTEXT,ENV_ENTRY+OPP_CONTEXT,0.40+0.60,200,201,62,0.30845771144278605,0.22529712532809137,0.25757575757575757,3,2026-04:66R/25.76%;2026-05:77R/36.36%;2026-06:58R/29.31%,False
TRIPLE:ENV_ENTRY+ALL_SAFE_HGB+ALL_SAFE_LINEAR,ENV_ENTRY+ALL_SAFE_HGB+ALL_SAFE_LINEAR,0.40+0.50+0.10,200,214,66,0.308411214953271,0.17450139955406052,0.2535211267605634,3,2026-04:71R/25.35%;2026-05:81R/33.33%;2026-06:62R/33.87%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+PLAYER_COURSE,ENV_ENTRY+OPP_CONTEXT+PLAYER_COURSE,0.40+0.40+0.20,200,214,66,0.308411214953271,0.22584143919973956,0.2463768115942029,3,2026-04:69R/24.64%;2026-05:87R/36.78%;2026-06:58R/29.31%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+PLAYER_COURSE,ENV_ENTRY+OPP_CONTEXT+PLAYER_COURSE,0.40+0.50+0.10,200,211,65,0.3080568720379147,0.22604114076373227,0.24285714285714285,3,2026-04:70R/24.29%;2026-05:82R/37.80%;2026-06:59R/28.81%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,0.30+0.30+0.40,200,224,69,0.3080357142857143,0.17696983649739825,0.2535211267605634,3,2026-04:71R/25.35%;2026-05:85R/34.12%;2026-06:68R/32.35%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,0.20+0.20+0.60,200,208,64,0.3076923076923077,0.16204415685454432,0.2318840579710145,3,2026-04:69R/23.19%;2026-05:75R/36.00%;2026-06:64R/32.81%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+PRIOR_FOOT,ENV_ENTRY+OPP_CONTEXT+PRIOR_FOOT,0.50+0.30+0.20,200,218,67,0.3073394495412844,0.22492395274346905,0.2608695652173913,3,2026-04:69R/26.09%;2026-05:90R/33.33%;2026-06:59R/32.20%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,0.60+0.30+0.10,200,205,63,0.3073170731707317,0.2356240580196646,0.2537313432835821,3,2026-04:67R/25.37%;2026-05:80R/37.50%;2026-06:58R/27.59%,False
TRIPLE:ENV_ENTRY+ALL_SAFE_HGB+ALL_SAFE_LINEAR,ENV_ENTRY+ALL_SAFE_HGB+ALL_SAFE_LINEAR,0.70+0.10+0.20,200,202,62,0.3069306930693069,0.22194790603052697,0.2727272727272727,3,2026-04:66R/27.27%;2026-05:81R/34.57%;2026-06:55R/29.09%,False
PAIR:ENV_ENTRY+ALL_SAFE_HGB,ENV_ENTRY+ALL_SAFE_HGB,0.65+0.35,200,202,62,0.3069306930693069,0.20997378605134548,0.2463768115942029,3,2026-04:69R/24.64%;2026-05:76R/35.53%;2026-06:57R/31.58%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+PLAYER_COURSE,ENV_ENTRY+OPP_CONTEXT+PLAYER_COURSE,0.30+0.60+0.10,200,202,62,0.3069306930693069,0.2216742245878972,0.24242424242424243,3,2026-04:66R/24.24%;2026-05:80R/36.25%;2026-06:56R/30.36%,False
PAIR:ENV_ENTRY+ALL_SAFE_HGB,ENV_ENTRY+ALL_SAFE_HGB,0.40+0.60,200,202,62,0.3069306930693069,0.1738033325575163,0.2318840579710145,3,2026-04:69R/23.19%;2026-05:74R/35.14%;2026-06:59R/33.90%,False
TRIPLE:ENV_ENTRY+ALL_SAFE_LINEAR+PRIOR_FOOT,ENV_ENTRY+ALL_SAFE_LINEAR+PRIOR_FOOT,0.60+0.30+0.10,200,212,65,0.30660377358490565,0.2110094436004271,0.25757575757575757,3,2026-04:66R/25.76%;2026-05:86R/33.72%;2026-06:60R/31.67%,False
PAIR:ENV_ENTRY+OPP_CONTEXT,ENV_ENTRY+OPP_CONTEXT,0.75+0.25,200,209,64,0.3062200956937799,0.2355480579136278,0.25,3,2026-04:68R/25.00%;2026-05:85R/36.47%;2026-06:56R/28.57%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+PRIOR_FOOT,ENV_ENTRY+OPP_CONTEXT+PRIOR_FOOT,0.40+0.50+0.10,200,219,67,0.3059360730593607,0.22077119953199553,0.2463768115942029,3,2026-04:69R/24.64%;2026-05:88R/35.23%;2026-06:62R/30.65%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,0.20+0.60+0.20,200,206,63,0.3058252427184466,0.22172316351230797,0.26153846153846155,3,2026-04:65R/26.15%;2026-05:80R/35.00%;2026-06:61R/29.51%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+PLAYER_COURSE,ENV_ENTRY+OPP_CONTEXT+PLAYER_COURSE,0.60+0.30+0.10,200,206,63,0.3058252427184466,0.23327677587349127,0.2537313432835821,3,2026-04:67R/25.37%;2026-05:84R/35.71%;2026-06:55R/29.09%,False
TRIPLE:ENV_ENTRY+ST_3HEAD_ANALOG+ALL_SAFE_LINEAR,ENV_ENTRY+ST_3HEAD_ANALOG+ALL_SAFE_LINEAR,0.50+0.30+0.20,200,206,63,0.3058252427184466,0.23254597861570328,0.25,3,2026-04:68R/25.00%;2026-05:80R/36.25%;2026-06:58R/29.31%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,0.70+0.10+0.20,200,206,63,0.3058252427184466,0.22487446915081405,0.23943661971830985,3,2026-04:71R/23.94%;2026-05:78R/37.18%;2026-06:57R/29.82%,False
TRIPLE:ENV_ENTRY+PLAYER_COURSE+ST_3HEAD_ANALOG,ENV_ENTRY+PLAYER_COURSE+ST_3HEAD_ANALOG,0.40+0.20+0.40,200,206,63,0.3058252427184466,0.24679369672695156,0.2328767123287671,3,2026-04:73R/23.29%;2026-05:77R/37.66%;2026-06:56R/30.36%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,0.60+0.20+0.20,200,203,62,0.3054187192118227,0.24386303520036093,0.25757575757575757,3,2026-04:66R/25.76%;2026-05:81R/35.80%;2026-06:56R/28.57%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_LINEAR,ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_LINEAR,0.50+0.40+0.10,200,203,62,0.3054187192118227,0.22914143466112555,0.24615384615384617,3,2026-04:65R/24.62%;2026-05:79R/36.71%;2026-06:59R/28.81%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_LINEAR,ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_LINEAR,0.50+0.30+0.20,200,203,62,0.3054187192118227,0.22360839385187703,0.23809523809523808,3,2026-04:63R/23.81%;2026-05:82R/35.37%;2026-06:58R/31.03%,False
TRIPLE:ENV_ENTRY+PLAYER_COURSE+ST_3HEAD_ANALOG,ENV_ENTRY+PLAYER_COURSE+ST_3HEAD_ANALOG,0.50+0.20+0.30,200,203,62,0.3054187192118227,0.24832993184949115,0.2318840579710145,3,2026-04:69R/23.19%;2026-05:77R/38.96%;2026-06:57R/28.07%,False
TRIPLE:ENV_ENTRY+ALL_SAFE_HGB+ALL_SAFE_LINEAR,ENV_ENTRY+ALL_SAFE_HGB+ALL_SAFE_LINEAR,0.60+0.20+0.20,200,213,65,0.3051643192488263,0.20572234459460748,0.2571428571428571,3,2026-04:70R/25.71%;2026-05:82R/34.15%;2026-06:61R/31.15%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+PRIOR_FOOT,ENV_ENTRY+OPP_CONTEXT+PRIOR_FOOT,0.60+0.30+0.10,200,213,65,0.3051643192488263,0.22773018249891525,0.25,3,2026-04:68R/25.00%;2026-05:89R/33.71%;2026-06:56R/32.14%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,ENV_ENTRY+OPP_CONTEXT+ALL_SAFE_HGB,0.30+0.40+0.30,200,200,61,0.305,0.20036896938611537,0.26229508196721313,3,2026-04:61R/26.23%;2026-05:78R/33.33%;2026-06:61R/31.15%,False
TRIPLE:ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,ENV_ENTRY+OPP_CONTEXT+ST_3HEAD_ANALOG,0.70+0.20+0.10,200,200,61,0.305,0.24455596466510723,0.25757575757575757,3,2026-04:66R/25.76%;2026-05:79R/36.71%;2026-06:55R/27.27%,False
TRIPLE:ENV_ENTRY+ALL_SAFE_HGB+ALL_SAFE_LINEAR,ENV_ENTRY+ALL_SAFE_HGB+ALL_SAFE_LINEAR,0.80+0.10+0.10,200,200,61,0.305,0.23691351379318967,0.2537313432835821,3,2026-04:67R/25.37%;2026-05:78R/34.62%;2026-06:55R/30.91%,False
TRIPLE:ENV_ENTRY+PLAYER_COURSE+ALL_SAFE_HGB,ENV_ENTRY+PLAYER_COURSE+ALL_SAFE_HGB,0.60+0.10+0.30,200,200,61,0.305,0.21668675528428583,0.25,3,2026-04:68R/25.00%;2026-05:76R/35.53%;2026-06:56R/30.36%,False
TRIPLE:ENV_ENTRY+ST_3HEAD_ANALOG+ALL_SAFE_HGB,ENV_ENTRY+ST_3HEAD_ANALOG+ALL_SAFE_HGB,0.60+0.10+0.30,200,200,61,0.305,0.21848493335802724,0.24285714285714285,3,2026-04:70R/24.29%;2026-05:74R/36.49%;2026-06:56R/30.36%,False
PAIR:ENV_ENTRY+OPP_CONTEXT,ENV_ENTRY+OPP_CONTEXT,0.65+0.35,200,200,61,0.305,0.2359079181889308,0.234375,3,2026-04:64R/23.44%;2026-05:80R/37.50%;2026-06:56R/28.57%,False
PAIR:ENV_ENTRY+ALL_SAFE_HGB,ENV_ENTRY+ALL_SAFE_HGB,0.50+0.50,200,200,61,0.305,0.19153514612443934,0.2318840579710145,3,2026-04:69R/23.19%;2026-05:74R/35.14%;2026-06:57R/33.33%,False
