date,month,race_code,venue,race,head_hit,actual_combo,test_month,opp_mass,p_head,tickets,exact3
2026-04-04,2026-04,202604040106,01,6,1,1-3-6,2026-04,0.39640688082012704,0.8324803645737389,1-2-3|1-3-2|1-3-4,0
2026-04-04,2026-04,202604040110,01,10,0,5-4-2,2026-04,0.4788597558021589,0.8159635341914724,1-3-2|1-2-3|1-3-5,0
2026-04-04,2026-04,202604040405,04,5,0,3-2-6,2026-04,0.40557153929943834,0.8237737983960893,1-3-2|1-2-3|1-3-4,0
2026-04-06,2026-04,202604061012,10,12,1,1-3-5,2026-04,0.41381435588916626,0.8145210137235714,1-3-2|1-2-3|1-3-5,1
2026-04-06,2026-04,202604062207,22,7,0,4-1-6,2026-04,0.3978441729148459,0.8461245883222526,1-2-4|1-2-3|1-4-2,0
2026-04-07,2026-04,202604072407,24,7,1,1-3-2,2026-04,0.5157674534495698,0.8139851043208273,1-3-2|1-3-4|1-2-3,1
2026-04-08,2026-04,202604081001,10,1,1,1-4-2,2026-04,0.40126909862964544,0.8398675656610174,1-3-2|1-2-3|1-3-4,0
2026-04-09,2026-04,202604090801,08,1,1,1-2-6,2026-04,0.44026371607586806,0.8346430826361354,1-3-2|1-2-3|1-3-4,0
2026-04-09,2026-04,202604092411,24,11,1,1-2-3,2026-04,0.4411932924063364,0.8251338696638928,1-2-3|1-3-2|1-2-6,1
2026-04-10,2026-04,202604102412,24,12,1,1-4-2,2026-04,0.5025275088115893,0.8491669894055587,1-2-3|1-2-5|1-3-2,0
2026-04-11,2026-04,202604112407,24,7,1,1-3-4,2026-04,0.40003845601458354,0.8344099684117445,1-2-3|1-3-2|1-2-4,0
2026-04-12,2026-04,202604120604,06,4,1,1-3-2,2026-04,0.43262578198014984,0.8427755422877337,1-3-5|1-3-2|1-2-3,1
2026-04-12,2026-04,202604122405,24,5,1,1-2-4,2026-04,0.4241205366582493,0.8343618212918991,1-2-4|1-2-6|1-4-2,1
2026-04-14,2026-04,202604140604,06,4,1,1-2-3,2026-04,0.4570585699210638,0.8310761026140939,1-2-3|1-3-2|1-2-4,1
2026-04-15,2026-04,202604151012,10,12,1,1-4-5,2026-04,0.40346312133252926,0.8265241342929979,1-2-3|1-3-2|1-2-5,0
2026-04-15,2026-04,202604151508,15,8,1,1-2-3,2026-04,0.3940622144330117,0.8130374075806879,1-2-4|1-2-3|1-4-2,1
2026-04-18,2026-04,202604180707,07,7,1,1-2-3,2026-04,0.4442263679072634,0.8268176360647088,1-3-4|1-3-5|1-2-3,1
2026-04-18,2026-04,202604180905,09,5,1,1-3-4,2026-04,0.421527909092182,0.8217912739521752,1-3-4|1-3-5|1-2-3,1
2026-04-18,2026-04,202604182101,21,1,1,1-2-3,2026-04,0.4307472128547985,0.8575928198472765,1-2-3|1-2-5|1-3-2,1
