actual_combo,band,combo,combo_prob,conditional_prob,date,ev,head,head_prob,hit,kelly_raw,model,odds_pre,payout100,period,race_code,return,score,stake
3-1-5,A,3-4-5,0.01927872468266727,0.0661669390556325,2026-08-23,2.159217164458734,3,0.29136491664602937,0,0.010443397878006614,3まくり,112.0,1780,test,202608230303,0,75.05999999999999,100
3-1-5,A,3-4-6,0.017840265305322716,0.06122997068654057,2026-08-23,4.292367832460646,3,0.29136491664602937,0,0.013741101137147937,3まくり,240.6,1780,test,202608230303,0,75.05999999999999,100
3-1-5,A,3-5-4,0.02436954407179649,0.08363925331958318,2026-08-23,1.7180528570616524,3,0.29136491664602937,0,0.010331695785059748,3まくり,70.5,1780,test,202608230303,0,75.05999999999999,100
3-1-5,A,3-6-1,0.007943004681099698,0.02726136273554657,2026-08-23,1.1398211717378066,3,0.29136491664602937,0,0.0009812012051775903,3まくり,143.5,1780,test,202608230303,0,75.05999999999999,100
3-1-5,A,3-6-4,0.008750731194010576,0.030033578835579514,2026-08-23,1.9347866669957383,3,0.29136491664602937,0,0.0042470998046148945,3まくり,221.1,1780,test,202608230303,0,75.05999999999999,100
3-4-1,A,3-2-4,0.010340588794641944,0.051518154665122586,2026-08-23,1.8189095689775179,3,0.2007173754933122,0,0.004682158770597586,3まくり,175.9,8530,test,202608231811,0,57.381,100
3-4-1,A,3-4-1,0.020556805775712395,0.10241667282261438,2026-08-23,1.5150365856700034,3,0.2007173754933122,1,0.007084409706602523,3まくり,73.7,8530,test,202608231811,8530,57.381,100
3-4-1,A,3-4-2,0.011606489105570987,0.057825034215623794,2026-08-23,2.0415814336699367,3,0.2007173754933122,0,0.005955296933504498,3まくり,175.9,8530,test,202608231811,0,57.381,100
3-4-1,A,3-4-5,0.011226517716330707,0.055931967467882565,2026-08-23,2.0387356172856563,3,0.2007173754933122,0,0.00575158149106122,3まくり,181.6,8530,test,202608231811,0,57.381,100
3-4-1,A,3-4-6,0.01701539307574894,0.0847728953904934,2026-08-23,1.1995852118403,3,0.2007173754933122,0,0.0028717296667669077,3まくり,70.5,8530,test,202608231811,0,57.381,100
3-4-1,A,3-5-4,0.011407080637733885,0.05683155536334702,2026-08-23,1.6277904070046252,3,0.2007173754933122,0,0.004430419244916198,3まくり,142.7,8530,test,202608231811,0,57.381,100
1-2-5,A,5-1-2,0.07089366079441559,0.7089366079441558,2026-08-23,12.023564870732883,5,0.1,0,0.06538294703874784,5頭展開,169.6,1140,test,202608231911,0,62.76466666666667,300
1-2-5,A,5-1-6,0.021716995187996163,0.2171699518799616,2026-08-23,6.261009712699294,5,0.1,0,0.018311902933168443,5頭展開,288.3,1140,test,202608231911,0,62.76466666666667,100
3-1-2,A,3-1-6,0.016324891698912426,0.05436486663639441,2026-08-23,1.823490402768518,3,0.30028385442564065,0,0.007438937694385889,3まくり,111.7,2360,test,202608232101,0,76.384,100
3-1-2,A,3-2-4,0.015833005469341528,0.052726795783361896,2026-08-23,1.6355494649829798,3,0.30028385442564065,0,0.006212604740791591,3まくり,103.3,2360,test,202608232101,0,76.384,100
3-1-2,A,3-4-1,0.04010706200539067,0.13356383106945363,2026-08-23,1.1430512671536341,3,0.30028385442564065,0,0.005201864260132151,3まくり,28.5,2360,test,202608232101,0,76.384,100
3-1-2,A,3-4-2,0.0192732805377576,0.06418353918702027,2026-08-23,1.9061274451842267,3,0.30028385442564065,0,0.009255642953873612,3まくり,98.9,2360,test,202608232101,0,76.384,100
3-1-2,A,3-4-6,0.021231354933738553,0.0707042840326804,2026-08-23,4.7452078276905665,3,0.30028385442564065,0,0.016832394731193558,3まくり,223.5,2360,test,202608232101,0,76.384,100
3-1-2,A,3-5-6,0.008489759400022698,0.028272447135931574,2026-08-23,2.468822033526601,3,0.30028385442564065,0,0.0050683990114789535,3まくり,290.8,2360,test,202608232101,0,76.384,100
3-1-2,A,3-6-4,0.008456926311073502,0.028163106961742068,2026-08-23,4.341785968105135,3,0.30028385442564065,0,0.006521830538846868,3まくり,513.4,2360,test,202608232101,0,76.384,100
1-3-4,A,3-4-2,0.015920709061933106,0.07279115065470348,2026-08-23,1.3261950648590277,3,0.2187176451909044,0,0.003963488029878831,3まくり,83.3,1780,test,202608232207,0,64.59633333333336,100
1-3-4,A,3-5-4,0.012388857688130651,0.05664315596172967,2026-08-23,1.7616955632521785,3,0.2187176451909044,0,0.005394444498953105,3まくり,142.2,1780,test,202608232207,0,64.59633333333336,100
1-3-4,A,3-5-6,0.007370708944255134,0.03369965389770781,2026-08-23,1.343680240537711,3,0.2187176451909044,0,0.001895643908095483,3まくり,182.3,1780,test,202608232207,0,64.59633333333336,100
1-2-4,A,5-1-2,0.05546976774823387,0.5546976774823387,2026-08-24,4.343282814686711,5,0.1,0,0.04325074792608941,5頭展開,78.3,3080,test,202608241505,0,64.45366666666666,300
3-2-6,A,3-1-2,0.014204249724829286,0.04733748346860606,2026-08-24,1.2798029002071185,3,0.3000634736793615,0,0.0031403243569822505,3まくり,90.1,7410,test,202608241803,0,78.857,100
3-2-6,A,3-1-4,0.019983366759244198,0.06659713198080817,2026-08-24,1.2449637491009136,3,0.3000634736793615,0,0.003996145988595654,3まくり,62.3,7410,test,202608241803,0,78.857,100
3-2-6,A,3-2-1,0.014823612970770539,0.04940159090009933,2026-08-24,2.7379213157013185,3,0.3000634736793615,0,0.009460649513888506,3まくり,184.7,7410,test,202608241803,0,78.857,100
3-2-6,A,3-2-4,0.014240585470015298,0.0474585769983865,2026-08-24,2.9292884311821465,3,0.3000634736793615,0,0.009424955697030515,3まくり,205.7,7410,test,202608241803,0,78.857,100
